Param_A,Param_B,N,Spearman_rho,p_hodnota,p_FDR
T Ly_CD3+_ a.p.,Cyt.TLy_CD8+_a.p,353,0.857,5.558868622402322e-103,2.780747429773382e-101
Cyt.TLy_CD8+,Imunoreg.index_IRI,354,-0.857,1.9443469963844148e-103,9.803521006373165e-102
Kreatinín_U (zbier.),FE_H2O,50,-0.857,2.0137983519053993e-15,2.1944529896492284e-14
Kreatinín_S,GF(S)- MDRD,6958,-0.851,0.0,0.0
Krvný obraz: Hemoglobín_HGB,Krvný obraz: Erytrocyty_RBC,3776,0.85,0.0,0.0
Krvný obraz_RET: Stredná konc._HGB,Krvný obraz_RET: Stredný objem_RBC,34,0.839,5.807661526520328e-10,4.658595161361571e-09
Transferín_S,NVK_S,246,0.839,2.4842107717021785e-66,8.967153995809058e-65
CVK_S,NVK_S,262,0.836,1.0460063500906099e-69,3.979208588099189e-68
Krvný obr._DIFF_5pop: Neutrofily_%,Diff.rozpočet_ WBC: Neutrofilné segmenty,205,0.835,1.5360269953338106e-54,4.737077427842572e-53
Železo_S,Saturácia Trf,534,0.833,7.329681866862383e-139,4.751578459201706e-137
Krvný obr._DIFF_5pop: Hematokrit_HCT,Krvný obr._DIFF_5pop: Erytrocyty_RBC,5478,0.831,0.0,0.0
Krvný obr._DIFF_RET: Erytrocyty_RBC,Krvný obr._DIFF_RET: Hematokrit_HCT,299,0.82,6.599747501385349e-74,2.670585724605167e-72
ABR_kapilára: HCO3_B - akt.,ABR_kapilára: PCO2_B,102,0.815,2.0599621865878208e-25,3.39039890450581e-24
Horčík_U (zbieraný),FE_H2O,50,-0.811,9.251876619004466e-13,8.772712262766474e-12
GF(S)-Schwarz,GF(S)-Shull,49,0.803,3.8219642687486e-12,3.5498448829473476e-11
FSH _S,LH_S,39,0.801,9.210207060592704e-10,7.26862676471372e-09
Kreatinín_S,GF-(S+U)-dospelí,74,-0.801,9.70621773546014e-18,1.2114656438777657e-16
Glukóza_ S,HbA1c,58,0.801,4.488451268173992e-14,4.606644734524938e-13
Krvný obr._DIFF_5pop: Hemoglobín_HGB,Krvný obr._DIFF_5pop: Erytrocyty_RBC,5478,0.795,0.0,0.0
Tub. resorbcia,GF-(S+U)-dospelí,74,0.794,3.226243555271651e-17,3.9491956274837763e-16
Albumín_S,Cholinesteráza_S,134,0.791,5.98053497503223e-30,1.114203480832251e-28
Kreatinín_S,GF(S)-Cockroft,74,-0.787,9.247935555438494e-17,1.1022914556041418e-15
Saturácia Trf,NVK_S,225,-0.787,1.2919486572204692e-48,3.5998902716322986e-47
Tub. resorbcia,Horčík_U (zbieraný),52,0.775,1.5979304800556704e-11,1.415851093416133e-10
Kreatinín_S,GF(S)-Schwarz,50,-0.773,4.831646851863076e-11,4.1592753997135663e-10
Krvný obr._DIFF_5pop: Lymfocyty_%,Diff.rozpočet_ WBC: Neutrofilné segmenty,208,-0.77,5.102046445946058e-42,1.256329498879663e-40
Signál Meď,Cu_U_diuréza,74,0.769,1.3089037278797284e-15,1.4436571845867905e-14
Glukóza_ S,HbA1c %,62,0.767,3.7023557749925237e-13,3.5855283900194365e-12
Quickov test: PT_INR,Factor V,91,-0.767,7.907160293592861e-19,1.055340112294022e-17
B Ly _CD19+_ a.p.,B Ly_ CD19+,354,0.767,7.832264856947389e-70,2.9974926889269134e-68
ELFO_S: Albumín,Cholinesteráza_S,81,0.767,6.433480136383427e-17,7.72625695773987e-16
GF(S)- MDRD,GF-(S+U)-dospelí,73,0.763,4.19680009271944e-15,4.511382570058647e-14
Amyláza_S,Amyláza_U (jednoráz),84,0.759,5.687745845159607e-17,6.843607832253596e-16
Kreatinín_U (zbier.),Horčík_U (zbieraný),52,0.754,1.0835483269447201e-10,9.117592743152062e-10
Quickov test: PT_%,Factor V,91,0.751,9.452644309541969e-18,1.1821387657189003e-16
Pomoc.TLy_CD4+,Imunoreg.index_IRI,354,0.75,4.726848814208868e-65,1.6776352243949128e-63
Tub. resorbcia,Fosfor_U (zbieraný),52,0.745,2.3539482606137637e-10,1.9396411543034035e-09
GF(S)- MDRD,ABR_artéria: BE_B,130,0.744,3.7187919311868235e-24,5.891642179259324e-23
GF(S)- MDRD,ABR_artéria: HCO3_B -  stand.,130,0.744,3.650551235884955e-24,5.79798800039428e-23
Albumín_S,ELFO_S: Albumín,1513,0.744,2.2787553530272827e-267,2.585166563889701e-265
Fosfor_U (zbieraný),FE_H2O,50,-0.743,6.734219750222123e-10,5.381446298510837e-09
Krvný obr._DIFF_5pop: Neutrofily_%,Krvný obr._DIFF_5pop: Neutrofily_#,5473,0.74,0.0,0.0
Krvný obr._DIFF_RET: Erytrocyty_RBC,Krvný obr._DIFF_RET: Hemoglobín_HGB,299,0.737,1.7182881584472875e-52,5.1250162772843275e-51
GF(S)- MDRD,ABR_artéria: BB_B,130,0.737,1.639582120875966e-23,2.54676411098411e-22
Kreatinín_S,ABR_artéria: BE_B,130,-0.736,1.893616461416341e-23,2.9128681306000037e-22
GF(S)- MDRD,ABR_artéria: HCO3_B - akt.,130,0.736,1.852413080471013e-23,2.8617712240253155e-22
Kreatinín_S,ABR_artéria: HCO3_B -  stand.,130,-0.736,1.8558944503359516e-23,2.8617712240253155e-22
Kreatinín_S,ABR_artéria: BB_B,130,-0.736,1.8199883763762407e-23,2.8200941841751847e-22
Krvný obr._DIFF_RET: Neutrofily_%,Krvný obr._DIFF_RET: Neutrofily_#,298,0.733,2.1051031666652423e-51,6.191537230474205e-50
Kreatinín_U (zbier.),Tub. resorbcia,123,0.733,5.81216837835805e-22,8.468969199015755e-21
Kreatinín_S,ABR_artéria: HCO3_B - akt.,130,-0.73,7.339118220049247e-23,1.1074921152487616e-21
Bielkovina_ ascites,LDH_ascites,73,0.726,3.608020036998315e-13,3.5048549380810847e-12
Urea_S,GF(S)-Cockroft,38,-0.725,2.572724496772916e-07,1.6712186838444104e-06
