Param_A,Param_B,N,Spearman_rho,p_hodnota,p_FDR
Kalcium-S,ABR_artéria: BE_B,124,0.324,0.00024271482100458647,0.0010866576869923452
Albumín_S,Cholest-celk._S,879,0.324,5.905375716334832e-23,8.975323427242868e-22
ELFO_S: Albumín,Prealbumín_S,163,0.324,2.4265430921764423e-05,0.00012604929079801255
Addisov sediment: Valce,Addisov sediment: Leukocyty,64,0.324,0.008919597550049393,0.027955699672157764
Krvný obr._DIFF_RET: Stredná konc._HGB,Krvný obr._DIFF_RET: Lymfocyty_#,298,-0.324,1.0814443167631063e-08,7.897029591259786e-08
Bili-priamy_S,C4_S,247,-0.324,1.9099294079459278e-07,1.2547860939690257e-06
Kreatinín_S,ABR_kapilára: O2_B sat,33,-0.323,0.06702203149359398,0.1520173779962058
Krvný obraz: Stredný objem_RBC,Quickov test: PT_%,1495,-0.323,1.0442298978885808e-37,2.3114956589847225e-36
Cyt.TLy_CD8+,B Ly_ CD19+,354,-0.323,4.576974991356499e-10,3.6900408781837355e-09
CRP_S,Krvný obr._DIFF_5pop: Lymfocyty_#,55,-0.323,0.01624787271719942,0.04696960500628159
Krvný obraz: Stredný objem_RBC,Quickov test: PT_INR,1493,0.323,1.1179433076447174e-37,2.466074247731559e-36
Kálium-S,Kalcium-S,2362,0.323,1.7803325341022814e-58,5.741346491955226e-57
Urea_S,ABR_artéria: O2_B sat,130,0.322,0.00018415473729503133,0.0008422858502774183
CRP_S,NVK_S,125,-0.322,0.00024654219144155937,0.0011030158748086103
Bili-celkový_S,LD_S,273,0.322,5.293199620133198e-08,3.651215764028904e-07
Imunoblot ANA: dsDNA,Imunoblot ANA: Histones,419,0.322,1.3752762091886761e-11,1.2323173141009394e-10
Nátrium-S,GF-rozdiel,38,0.322,0.04882264713081326,0.11794920918269025
Krvný obr._DIFF_RET: Retikulocyty_#,Krvný obr._DIFF_RET: Leukocyty_WBC,299,0.322,1.1950220513307179e-08,8.706393454247765e-08
Fosfor_S,HBDH_S,37,0.322,0.05172692160917822,0.1234489605496278
CRP_S,ELFO_S: alfa2_globulín,1083,0.321,2.4570977624104702e-27,4.2884456276356365e-26
Cholest-HDL_S,Meď_S,53,-0.321,0.019230014394183502,0.053985100064625625
Krvný obraz_RET: Trombocyty_PLT,Krvný obraz_RET: Šírka dist.kriv._RBC,34,-0.321,0.06388711203193216,0.1463666868874378
"ELFO_S: beta1,2_globulín",Haptoglobín_S,97,0.321,0.0013324797233144393,0.0051585884717956325
Transferín_S,Vitamín B12,312,-0.321,6.212183528698672e-09,4.632159854204538e-08
Albumín_S,AFP_S,87,-0.321,0.00247234010574036,0.009032074003317141
ELFO_S: alfa2_globulín,Fosfor_S,157,0.32,4.355643474747523e-05,0.00021703061172604718
Močový sediment: Erytrocyty,Kalcium ionizované_S,47,-0.32,0.02814369743595838,0.0742203859737001
Tub. resorbcia,Addisov sediment: Erytrocyty,55,0.32,0.01705208903618809,0.04890831677061081
Fosfor_S,CVK_S,39,0.32,0.04675706324671967,0.11376776055396785
Cholest-HDL_S,Transferín_S,147,0.32,7.878385701314802e-05,0.00038090855677665864
Feritin_S,Triacylglyceroly_S,200,0.32,3.737232863306653e-06,2.1782238881272628e-05
Quickov test: PT_%,Diff.rozpočet_ WBC: Neutrofil.nesegmenty,33,-0.32,0.06968878942763417,0.15655335192141437
Krvný obr._DIFF_RET: Eozinofily_#,Krvný obr._DIFF_RET: Lymfocyty_%,298,0.32,1.546755613518433e-08,1.1243178961879412e-07
Krvný obr._DIFF_5pop: Trombocyty_PLT,Krvný obr._DIFF_5pop: Lymfocyty_#,5477,0.32,7.492887135960628e-131,4.666893330858615e-129
Kreatinín_S,Quickov test: PT_%,45,-0.319,0.03245016954485285,0.08396305965598287
Albumín_S,ABR_kapilára: BB_B,30,-0.319,0.0858031312529161,0.18569244020644715
ELFO_S: Albumín,Cholest-LDL_S,140,0.319,0.00012262500507791485,0.0005770641905629578
GMT_S,ALP_S,7104,0.319,5.883609318929586e-168,4.61463827199502e-166
Proteinúria kvant._U,FE_ Nátria,50,-0.319,0.023827771099906855,0.06434799911529321
Lymfocyty,NKbb._CD16+CD56+_ap,354,0.319,8.442967126316234e-10,6.6964007682255976e-09
ELFO_S: Albumín,Vitamín B12,179,-0.319,1.3553607158467485e-05,7.34067061191338e-05
Krvný obraz: Erytrocyty_RBC,Fibrinogén,1450,0.319,9.91210823097753e-36,2.0646433964393524e-34
Krvný obraz: Trombocyty_PLT,Krvný obraz: Erytrocyty_RBC,3776,0.319,4.347332148176785e-90,2.0013479085048632e-88
Cholest-HDL_S,T4f_S,130,-0.319,0.00021473384685590568,0.0009695836027544911
GF(S)- MDRD,ABR_artéria: PO2_B,130,-0.319,0.00022048044633460914,0.00099482405934927
ABR_kapilára: HCO3_B - akt.,ABR_kapilára: pH_B,102,0.319,0.0010946658179385906,0.004324883048111857
Kreatinín_U (zbier.),FE_Fosforu,50,-0.319,0.024030485971447246,0.06474371390017147
CRP_S,ABR_kapilára: BB_B,34,0.318,0.06728061724901868,0.15238280263209114
p-ANCA,ANA  HEp-2,230,0.318,8.099293711928442e-07,5.0150889816648525e-06
Cholest-LDL_S,Foláty,64,0.318,0.010322358863343125,0.03168016708155501
AST_S,Krvný obr._DIFF_5pop: Stredná konc._HGB,38,0.317,0.052781004759122375,0.1255401434798594
Quickov test: PT_INR,Diff.rozpočet_ WBC: Neutrofil.nesegmenty,33,0.317,0.0719753427898302,0.16055454801397165
Amyláza_S,ABR_artéria: BB_B,32,-0.317,0.07720441493356527,0.16995136800864175
FE_ Nátria,GF(S+U)-deti,48,-0.317,0.02834325021446729,0.07462273875363062
Krvný obraz_RET: Stredná konc._HGB,Krvný obraz_RET: Hematokrit_HCT,34,-0.317,0.06764779948128485,0.15305073721673884
NKbb._ CD16+CD56+,Cyt.TLy_CD8+_a.p,353,-0.317,1.0702385491724056e-09,8.373430422281149e-09
GF(S)- MDRD,Krvný obr._DIFF_5pop: Bazofily_%,41,-0.317,0.04365227723774254,0.10740624217326815
Krvný obr._DIFF_RET: Leukocyty_WBC,Krvný obr._DIFF_RET: Eozinofily_%,298,-0.317,2.2937370937221347e-08,1.6428536365746024e-07
Urea_S,Prealbumín_S,163,0.316,3.9039456713025976e-05,0.00019590653119893684
Krvný obr._DIFF_5pop: Eozinofily_%,Factor V,45,0.316,0.03446002773897479,0.08799218497817798
Kreatinín_S,IgA_S,1305,0.316,9.74441514679498e-32,1.8931580864705965e-30
Kálium-S,FE_ Nátria,50,0.316,0.025484924057307918,0.06834348777377679
ELFO_S: alfa1_globulín,C3_S,1052,0.316,9.08254006502176e-26,1.5144718381386677e-24
Addisov sediment: Leukocyty,FE_ Kália,36,-0.316,0.060438188098643084,0.14008165231327235
IgA_S,T3f_S,103,-0.316,0.001146588670914214,0.004513183287681537
CRP_S,IgA_S,1154,0.316,3.3861712849644734e-28,6.0427938689267696e-27
ALP_S,alfa1 AT_S,322,0.315,7.730184066557297e-09,5.7113294074745295e-08
Quickov test: PT_%,D_dimer INOV,286,-0.315,5.3334308178340966e-08,3.674976788036878e-07
Krvný obr._DIFF_5pop: Trombocyty_PLT,Krvný obr._DIFF_5pop: Neutrofily_#,5473,0.315,4.878127460995124e-126,2.9798792076636556e-124
p-ANCA,DGP IgG,74,0.315,0.006270699640521282,0.020492672230571867
ALT_S,T3f_S,227,-0.315,1.2686045508037275e-06,7.712387283498641e-06
Proteinúria kvant._U,Fosfor_U (zbieraný),52,0.315,0.023004250063934827,0.06275290642384292
alfa1 AT_S,Haptoglobín_S,75,0.314,0.006164036543941345,0.0202273368613943
AST_S,NVK_S,131,-0.314,0.00026228814342637907,0.0011677060793187008
ALT_S,Triacylglyceroly_S,858,0.314,3.8764218975406705e-21,5.559121515818482e-20
Kalcium-S,Proteinúria kvant._U,76,-0.314,0.00570085841680582,0.01887313888586106
Albumín_S,ABR_kapilára: PCO2_B,30,-0.314,0.09115760446698616,0.19466361720294556
"ELFO_S: beta1,2_globulín",Cholest-celk._S,284,0.313,7.262521437768103e-08,4.971853307558272e-07
ALT_S,Močový sediment A: Epitélie,142,-0.313,0.0001458955226752425,0.0006785980880842479
Chloridy-S,ABR_artéria: BE_B,167,0.313,3.796985777955304e-05,0.00019114303207091952
Albumín_S,HBDH_S,88,-0.313,0.0029711072519787362,0.010586340085149137
AST_S,Haptoglobín_S,70,-0.313,0.008232878058857872,0.026034581537045326
Amoniak_B,Cholinesteráza_S,108,-0.313,0.0009837688359511762,0.003935694845590568
Krvný obr._DIFF_RET: Bazofily_%,Krvný obr._DIFF_RET: Monocyty_%,298,0.313,3.261709248323505e-08,2.2922166874556668e-07
Kalcium-S,Fosfor_S,919,0.313,2.640846893561249e-22,3.9199299800922e-21
Kreatinín_S,GMT_S,6836,0.313,1.8241789534120042e-155,1.3021358304524117e-153
Chloridy_U (zbieraný,Kalcium_U (zbieraný),55,0.312,0.02021070966121562,0.0561385916111499
Albumín_S,Močový sediment A: Leukocyty,106,-0.312,0.0011318793787717244,0.004458046927053171
Amoniak_B,Laktát_P,47,0.312,0.032853929661320086,0.08481146490791
IgA_S,Feritin_S,397,0.311,2.487639566977128e-10,2.0444985988364415e-09
ANA  HEp-2,LKM1,32,0.311,0.08360827242985043,0.18202993651365312
Bili-celkový_S,C4_S,250,-0.311,5.123721477097842e-07,3.232472943793703e-06
Moč chemicky _ úplne: Ketolátky,Fosfor_S,112,-0.311,0.0008302728114677456,0.0033782169617650225
Krvný obr._DIFF_RET: Trombocyty_PLT,Krvný obr._DIFF_RET: Monocyty_#,298,0.311,4.170937924428975e-08,2.89912129473712e-07
ALT_S,Krvný obr._DIFF_5pop: Stredný objem_RBC,38,0.31,0.058231242175713856,0.13630916784904576
c-ANCA,DGP IgA,74,0.31,0.00714062486795335,0.022980947206741455
Reumat. faktor_S,Prokalcitonín_S,55,0.31,0.021292040653022013,0.058735707454906146
Kálium-S,Amyláza_U (jednoráz),76,-0.31,0.006357026033416858,0.02075343596623705
Prokalcitonín_S,Foláty,49,-0.31,0.030197871369020482,0.07888156585686888
GMT_S,ELFO_S: Albumín,1155,-0.31,4.235326550001621e-27,7.331615687237138e-26
Transferín_S,Haptoglobín_S,113,0.309,0.0008653104422364418,0.0035015928683721884
Horčík-S,Prealbumín_S,139,0.309,0.00021018527533290567,0.0009510734004201921
CRP_S,Železo_S,761,-0.309,2.561272923080701e-18,3.2805981613571964e-17
Fosfor_S,NVK_S,36,0.309,0.06705698191909684,0.15203890297359823
Reumat. faktor_S,Močový sediment A: Hlienové vlákna,43,0.309,0.04352599217207148,0.10713701211513758
GMT_S,Saturácia Trf,356,0.309,2.5013874818782485e-09,1.910013782737081e-08
Cholest-HDL_S,Amoniak_B,31,-0.309,0.09032749776538752,0.19328076567986086
"ELFO_S: beta1,2_globulín",Prealbumín_S,163,0.309,5.98123476184986e-05,0.00029456422048086944
Krvný obr._DIFF_5pop: Leukocyty_WBC,Krvný obr._DIFF_5pop: Monocyty_%,5475,-0.309,2.726402940311646e-121,1.5604358450270168e-119
Krvný obr._DIFF_5pop: Monocyty_#,Diff.rozpočet_ WBC: Lymfocyty,208,-0.308,5.818887106865151e-06,3.2859902035479384e-05
Krvný obr._DIFF_5pop: Lymfocyty_#,Krvný obr._DIFF_5pop: Eozinofily_#,5475,0.308,3.01991377638379e-120,1.7129921626219836e-118
Albumín_S,Haptoglobín_S,112,0.308,0.0009502271383594345,0.0038183383997454066
C4_S,Vitamín B12,128,-0.308,0.00041333879672169726,0.0017887884029788438
GMT_S,Interleukín -6,254,0.307,6.02405735336769e-07,3.7779700262532014e-06
CRP_S,C4_S,949,0.307,3.657847393242334e-22,5.391717978948619e-21
AST_S,Amoniak_P,98,0.307,0.0021064511739589454,0.007835061070351979
IgG_S,Cholinesteráza_S,62,-0.307,0.01504914981909612,0.04401807035023833
Chloridy-S,ABR_artéria: HCO3_B -  stand.,167,0.307,5.5353734567966746e-05,0.00027345433570007214
Urea_S,Krvný obr._DIFF_5pop: Lymfocyty_#,48,-0.307,0.03387895958670862,0.08682252128050014
Bielkoviny_S,GF-(S+U)-dospelí,35,0.307,0.07329657844294928,0.16287273971600447
SLA a LP,LC1,125,0.307,0.00048776902573195036,0.0020895459342380853
ASCA IgG,DGP IgG,69,0.307,0.010374345240027996,0.03182434346204628
ALT_S,Krvný obraz: Hematokrit_HCT,30,0.306,0.09985982238276801,0.20886952510549425
ALT_S,Žlčové kyseliny,319,0.306,2.2999821465814225e-08,1.645471461399975e-07
Cholest-celk._S,NT-proBNP,49,-0.306,0.03255373716075019,0.0841733382915124
Krvný obraz: Trombocyty_PLT,APTT: APTT_ratio,1487,-0.306,1.2441724592772943e-33,2.509278613901159e-32
GF(S)- MDRD,Krvný obraz: Stred. far.konc._HGB,49,-0.306,0.03265991483577819,0.0843448938828044
Imunoblot ANA: AMA-M2,Imunoblot ANA: Histones,419,0.306,1.4804492718050758e-10,1.23591251297998e-09
CRP_S,Krvný obr._DIFF_5pop: Stredná konc._HGB,55,0.306,0.023159536446972644,0.06303878965193539
Chloridy-S,ABR_kapilára: pH_B,50,-0.306,0.030603612224748087,0.07978036457276347
Kreatinín_S,Krvný obr._DIFF_5pop: Neutrofily_#,48,-0.306,0.034481425518176935,0.08801144890195985
Nátrium-S,Bili-priamy_S,3830,-0.306,5.641465455885785e-84,2.471740002844303e-82
Imunoblot ANA: SS-A/Ro52kD,ANA  HEp-2,217,0.306,4.409009014504196e-06,2.5371770171327133e-05
C4_S,AFP_S,48,-0.306,0.0342384386688693,0.08767303541448074
Kálium-S,Osmolalita_U (jednor,46,-0.305,0.03912621737094498,0.098016111576346
FE_Chloridov,GF(S+U)-deti,48,-0.305,0.0352444919722181,0.08971713236381146
CRP_S,Krvný obr._DIFF_5pop: Stredný objem_RBC,55,0.305,0.02377316146060887,0.0643286430902543
IgM_S,Močový sediment A: Zhluky leukocytov,39,0.305,0.05859421305717596,0.13690659637816802
Bili-celkový_S,CVK_S,124,-0.305,0.0005607485509325048,0.002367975806353284
Chloridy-S,CEA _S,53,-0.305,0.026521365817163044,0.07064580169242633
Bielkoviny_S,Prokalcitonín_S,423,-0.305,1.504328566499071e-10,1.2541993940903672e-09
Kalcium-S,ABR_artéria: HCO3_B - akt.,124,0.305,0.0005724863296490628,0.002413407864804576
ALT_S,HbA1c %,59,0.304,0.01930004920575838,0.05408611054441243
Krvný obr._DIFF_RET: Leukocyty_WBC,Krvný obr._DIFF_RET: Bazofily_%,299,-0.304,7.882569335732146e-08,5.384727203215735e-07
AST_S,CK-celková_S,2081,0.304,8.20247441782426e-46,2.1269518357729599e-44
Chloridy-S,Vitamín B12,234,-0.304,2.172783612142824e-06,1.2912716826888084e-05
Krvný obr._DIFF_RET: Bazofily_#,Krvný obr._DIFF_RET: Lymfocyty_%,298,0.304,8.603875545815215e-08,5.858566060296255e-07
Kálium-S,Interleukín -6,290,-0.304,1.3097277672900412e-07,8.786378569792642e-07
Cholest-celk._S,Močový sediment A: Leukocyty,56,0.304,0.02268164480533467,0.062030344144765895
ALT_S,CK-MB_S,731,0.303,5.2604725483862024e-17,6.341514629961583e-16
AST_S,Močový sediment A: Epitélie,140,-0.303,0.0002688417944953342,0.001195207781965611
Lymfocyty,Leukocyty,359,-0.302,5.231303179526393e-09,3.919159091925846e-08
GF(S)- MDRD,Krvný obraz: Leukocyty_WBC,49,0.302,0.03484524572078202,0.08883300403857472
Prokalcitonín_S,NT-proBNP,61,0.302,0.018101573503426237,0.0513848509683945
Krvný obraz: Leukocyty_WBC,Krvný obraz: Trombocyty_PLT,3776,0.302,1.3727065178153514e-80,5.89243547816279e-79
Osmolalita_S,GF(S)-Schwarz,41,-0.302,0.05489524441714061,0.12979139850468713
CRP_S,ABR_artéria: HCO3_B - akt.,101,0.302,0.002122139742515513,0.00788418349953278
Albumín_S,Cholest-HDL_S,673,0.302,1.2058806833508741e-15,1.332340866317931e-14
GMT_S,Krvný obr._DIFF_5pop: Bazofily_%,30,0.302,0.1044122857334595,0.21571748008607095
APTT: APTT_ratio,Krvný obr._DIFF_RET: Šírka dist.kriv._RBC,104,0.302,0.0018242054432863655,0.0069024283390102924
CRP_S,Laktát_P,54,0.301,0.026804377003324387,0.07136974312746011
Nátrium-S,Bili-celkový_S,3858,-0.301,1.5557762750140562e-81,6.7237052212002034e-80
Lymfocyty,CCP,59,0.301,0.020346235108094784,0.05644525399202016
Quickov test: PT_%,Krvný obr._DIFF_RET: Erytrocyty_RBC,106,0.301,0.0016910546040567458,0.006444673005142476
Fibrinogén,Trombínový čas,254,-0.301,1.0231096295936857e-06,6.286088468867201e-06
Fibrinogén,Krvný obr._DIFF_RET: Stredná konc._HGB,105,-0.301,0.0018059420328962812,0.006841472710190862
Kys. močová_S,alfa1 AT_S,154,-0.301,0.0001498745759467917,0.0006955099934185301
Krvný obr._DIFF_5pop: Erytrocyty_RBC,Trombínový čas,131,-0.301,0.0004704360380911043,0.002022111062241398
ALT_S,LD_S,1566,0.301,3.669539149025052e-34,7.439363604505307e-33
Kálium-S,Addisov sediment: Valce,46,-0.3,0.04247639379891338,0.10491933507173279
ALT_S,ABR_kapilára: PO2_B,31,-0.3,0.10082565393342283,0.21029066954663006
Cholest-HDL_S,Ceruloplazmín,102,-0.3,0.0021553142593663316,0.00799343459812327
Železo_S,Triacylglyceroly_S,218,0.3,6.7579313341707335e-06,3.7926800146631335e-05
Addisov sediment: Erytrocyty,FE_Horčíka,36,-0.3,0.07580157317145539,0.16738526046515678
Amoniak_B,Cholest-LDL_S,37,-0.3,0.07116618691564743,0.15897285002640932
Meď_S,CVK_S,103,0.299,0.002189012817247758,0.008099474914371
Quickov test: PT_INR,D_dimer INOV,286,0.299,2.56195633100634e-07,1.6659271822807856e-06
Kálium-S,CVK_S,125,0.299,0.0006948083940788536,0.002883159848192657
Amoniak_B,NVK_S,75,-0.299,0.009111356290085462,0.028430474710664507
Meď_S,NVK_S,101,0.299,0.0024268982487578956,0.008886504077440294
Bili-celkový_S,Proteinúria kvant._U,30,-0.299,0.10877208180759418,0.22291062649922963
Urea_S,ABR_kapilára: HCO3_B -  stand.,35,-0.299,0.08121822919830864,0.1775565760828819
C4_S,Prokalcitonín_S,49,-0.299,0.037078696763651976,0.09343949247896907
Bili-celkový_S,ABR_artéria: pH_B,93,-0.298,0.0036851466179674583,0.0128143056726586
"ELFO_S: beta1,2_globulín",anti TPO_S,83,-0.298,0.00626193894376345,0.020474574426005764
Kálium-S,Amoniak_B,602,-0.298,7.808834681701185e-14,7.93752427725562e-13
Imunoblot ANA: Nucleosomes,LC1,112,0.298,0.001406446634888233,0.005408489124070813
Horčík_U (zbieraný),FE_Fosforu,50,-0.298,0.035318967658749034,0.08986039308611639
Krvný obr._DIFF_5pop: Trombocyty_PLT,APTT: APTT_ratio,1492,-0.297,7.177815372452462e-32,1.3987932840855978e-30
ELFO_S: gama_globulín,Močový sediment A: Kryštály,37,0.297,0.0742871293180927,0.16461323074916043
LD_S,Feritin_S,343,0.297,2.014937009372765e-08,1.448065024948549e-07
Urea_S,ABR_kapilára: BE_B,35,-0.297,0.0834015450313025,0.1816421033883664
APTT: APTT_sekundy,Diff.rozpočet_ WBC: Neutrofilné segmenty,48,-0.297,0.04005694595088855,0.09999283993162866
Urea_S,ABR_kapilára: HCO3_B - akt.,35,-0.297,0.0834015450313025,0.1816421033883664
AST_S,Quickov test: PT_INR,39,0.296,0.06776623311346065,0.1532641078568229
IgG_S,Vitamín B12,132,0.296,0.000560963889274625,0.002367975806353284
IgG_S,IgM_S,1621,0.296,3.676940298779579e-34,7.439363604505307e-33
Kreatinín_S,FE_Chloridov,50,0.296,0.036665700597657704,0.09261916337849677
ANA  HEp-2,Imunoblot Liver Pro: gp210,42,0.296,0.05690601613162217,0.1338007105185081
Kálium-S,T3f_S,153,0.296,0.00020792584741492165,0.000941520248486812
Imunoblot Liver Pro: LC1,LC1,116,0.296,0.0012776093528936699,0.00496735141917594
CRP_S,Krvný obr._DIFF_5pop: Neutrofily_%,55,0.296,0.02843294583182115,0.07479689642631875
APTT: APTT_ratio,Diff.rozpočet_ WBC: Neutrofilné segmenty,48,-0.296,0.04117515711628594,0.10221806002572038
CYFRA  21-1_S,PSAc_S,33,0.296,0.09405056210492745,0.19896877157928874
"ELFO_S: beta1,2_globulín",IGG4,62,0.296,0.01953441715994549,0.05462242615190743
ALT_S,ABR_artéria: PO2_B,84,0.295,0.006508085974733513,0.021148782709709466
Kreatinín_S,Krvný obraz: Stredná konc._ HGB,50,0.295,0.037850665480744,0.09515840039539636
ELFO_S: gama_globulín,"ELFO_S: beta1,2_globulín",1600,0.295,1.410323726117871e-33,2.835375516464188e-32
Horčík-S,Addisov sediment: Valce,45,-0.295,0.049240661348737925,0.11876458676861505
Krvný obr._DIFF_5pop: Stredná konc._HGB,Fibrinogén,1499,-0.295,1.5383659201062197e-31,2.9705892676093658e-30
ALP_S,NT-proBNP,154,0.295,0.00020710938341264866,0.0009384920918834215
Kálium-S,Krvný obr._DIFF_5pop: Neutrofily_%,52,-0.294,0.034654359439167455,0.08838897565344168
LD_S,Haptoglobín_S,92,-0.294,0.004395301055583519,0.015044907115367507
c-ANCA,ANA  HEp-2,230,0.294,5.5547660444140846e-06,3.145225372563519e-05
Krvný obraz: Hematokrit_HCT,Trombínový čas,72,-0.294,0.012110159632928278,0.03635909458789856
CRP_S,anti TG_S,70,-0.293,0.013682776963213973,0.04065794295944732
Močový sediment: Leukocyty,CIK_S,42,-0.293,0.0600067993801118,0.13938690912681911
Moč chemicky _ úplne: Bielkoviny,Feritin_S,79,0.293,0.008693257727838527,0.027273217948127485
Osmolalita_S,Kálium_U (zbieraný),42,0.293,0.05987696212505859,0.13918709856586067
ELFO_S: alfa1_globulín,Haptoglobín_S,102,0.293,0.0028204705269710526,0.010146347258124064
Moč chemický A: UBG,Močový sediment A: Hlienové vlákna,476,0.293,7.285978033532361e-11,6.18821102233036e-10
CK-celková_S,Železo_S,158,0.293,0.00018499760404958122,0.0008455322147676184
LH_S,Estradiol _S,31,0.293,0.10967327523460642,0.2240367580596317
Kálium-S,Fosfor_S,840,0.293,4.062724762583985e-18,5.1559118322833174e-17
Krvný obr._DIFF_RET: Stredný objem_RBC,Krvný obr._DIFF_RET: Lymfocyty_#,298,-0.292,2.9029780169548506e-07,1.874249933101033e-06
Fosfor_U (zbieraný),FE_Horčíka,50,-0.292,0.039499110790421045,0.09883334023298342
AST_S,Etanol v sére,158,0.292,0.00019288909177277787,0.0008784404301307942
Kreatinín_S,Addisov sediment: Leukocyty,55,0.292,0.030665423748516506,0.0799087108590342
ELFO_S: Albumín,AFP_S,53,-0.292,0.03385204161886185,0.08678854737878504
Krvný obr._DIFF_5pop: Leukocyty_WBC,Krvný obr._DIFF_5pop: Bazofily_%,5476,-0.292,7.019317744107449e-108,3.716143802359552e-106
APTT: APTT_sekundy,Fibrinogén,3382,-0.292,2.3157565484509893e-67,8.504047024456148e-66
Chloridy_U (zbieraný,Addisov sediment: Leukocyty,37,0.292,0.07944354669499548,0.1740361559149332
Urea_S,ABR_kapilára: pH_B,35,-0.292,0.08901542835406162,0.19111693691563147
Kreatinín_S,Prokalcitonín_S,898,0.292,4.427906493530037e-19,5.985210628382197e-18
APTT: APTT_sekundy,Krvný obr._DIFF_RET: Šírka dist.kriv._RBC,104,0.291,0.0027093666154489587,0.009785449748690866
IgM_S,AFP_S,39,0.291,0.07275767406172924,0.16201524826994948
Kreatinín_S,Krvný obr._DIFF_5pop: Stredná konc._HGB,48,0.291,0.044995249805459527,0.11011356780203559
AMAM2,SLA a LP,148,0.291,0.0003405775782097551,0.001494260603844319
Bili-celkový_S,IgA_S,545,0.291,3.97364779673742e-12,3.685340796010632e-11
Krvný obraz: Stred. far.konc._HGB,Krvný obraz: Šírka dist.kriv._RBC,3759,-0.291,2.736410911948168e-74,1.1215753886197878e-72
GMT_S,Quickov test: PT_INR,32,0.291,0.10592068792591416,0.21833683659744735
Kreatinín_S,Krvný obr._DIFF_5pop: Bazofily_%,48,0.291,0.04474504191162138,0.10971256320514498
Krvný obr._DIFF_RET: Stredná konc._HGB,Krvný obr._DIFF_RET: Šírka dist.kriv._RBC,297,-0.291,3.3688656996002936e-07,2.1618589686424912e-06
Bili-priamy_S,IgG_S,518,0.291,1.4163816334541741e-11,1.2638023198503326e-10
Albumín_S,Troponín T hs,100,-0.291,0.003275058675031586,0.011564174502364112
Kreatinín_U (zbier.),Kalcium_U (zbieraný),52,0.291,0.036417818275376185,0.09217625478225694
AST_S,Quickov test: PT_%,39,-0.291,0.07188861220813642,0.16041740546480177
Imunoblot Liver Pro: SLA,Imunoblot Liver Pro: Sp100,188,0.29,5.436257610635947e-05,0.00026876688404957333
IgA_S,Beta2 mikroglob. _S,113,0.29,0.0018304367175704143,0.006921883611145739
Krvný obr._DIFF_5pop: Trombocyty_PLT,APTT: APTT_sekundy,1492,-0.29,2.4399077814208975e-30,4.613313730763977e-29
Urea_S,APTT: APTT_ratio,45,0.29,0.05359145596075715,0.12722964115048213
Kalcium-S,Močový sediment A: Leukocyty,84,-0.29,0.0074986903125681785,0.023939286208917405
alfa1 AT_S,IGG4,39,-0.29,0.07361619165076455,0.16352575718786963
Cholest-HDL_S,CK-MB_S,41,-0.29,0.06626262703141104,0.15093813894964303
Ak.TLyCD3+HLADR+_ap,Leukocyty,359,0.29,2.18445690535445e-08,1.5681191773691324e-07
Krvný obr._DIFF_5pop: Šírka dist.kriv._RBC,Quickov test: PT_%,1560,-0.289,2.0076786444745925e-31,3.8650855843476016e-30
CA 19-9_S,NSE_S,58,0.289,0.027705155047294344,0.07324629630273032
Krvný obr._DIFF_5pop: Lymfocyty_#,D_dimer INOV,208,-0.289,2.3087640265374333e-05,0.00012052241463099684
Krvný obr._DIFF_5pop: Lymfocyty_%,Krvný obr._DIFF_5pop: Monocyty_#,5475,-0.289,1.9368328869860857e-105,9.843759464818082e-104
Kálium_U (zbieraný),Kalcium_U (zbieraný),55,0.289,0.032268718849876664,0.08357598638558053
Urea_S,ABR_artéria: HCO3_B -  stand.,130,-0.289,0.0008601128610810706,0.003484883294928598
dsDNA IgG,SLA a LP,34,0.289,0.09725972543580855,0.2042614994028733
Kalcium-S,"ELFO_S: beta1,2_globulín",356,0.288,3.1286376655050535e-08,2.2060194327362493e-07
Foláty,Meď_S,142,0.288,0.0005076943595267915,0.0021690533060347724
Triacylglyceroly_S,Močový sediment A: Spermie,55,0.288,0.03319716172749671,0.08548520392049798
Reumat. faktor_S,Cholest-LDL_S,72,-0.288,0.014283549851948496,0.04210830264938691
ALT_S,IgA_S,1317,0.288,1.7575889972822096e-26,2.977590106595701e-25
Krvný obr._DIFF_5pop: Stredný objem_RBC,Fibrinogén,1499,-0.288,5.536464180322125e-30,1.0345046158113663e-28
ELFO_S: Albumín,Moč chemický A: Špec. hmotnosť,38,0.288,0.08005251144335565,0.17524934707086093
ALP_S,CA 19-9_S,45,0.287,0.056108125003012696,0.13231437199114315
Urea_S,Moč chemický A: pH,155,-0.287,0.0002952998440378991,0.0013073448844409567
GMT_S,Quickov test: PT_%,32,-0.287,0.11093771317075064,0.2261107769566182
GF(S)- MDRD,Krvný obraz: Trombocyty_PLT,49,0.287,0.045336318134481426,0.11077754965706174
ELFO_S: Albumín,Železo_S,373,0.287,1.7488370247007625e-08,1.2639774309356023e-07
Bielkoviny_S,Močový sediment: Valce,44,-0.287,0.05897119598189161,0.13763556505251925
Transferín_S,alfa1 AT_S,183,-0.287,7.9857470361673e-05,0.0003846357158511816
Albumín_S,CA 19-9_S,45,-0.286,0.057130113292910636,0.1342758452644696
Triacylglyceroly_S,Cholest-HDL_S,831,-0.286,3.8507671907649063e-17,4.686575471825565e-16
