Marker,Genotyp,Lab_parameter,N,Median,Q1,Q3,Priemer,SD
HFE_H63D,wt,Krvný obr._DIFF_5pop: Lymfocyty_%,927,20.1,13.4,28.35,20.811,10.205
HFE_H63D,het,Krvný obr._DIFF_5pop: Lymfocyty_#,335,1.27,0.83,1.75,1.453,1.057
HFE_H63D,hom,Krvný obr._DIFF_5pop: Lymfocyty_#,35,1.55,1.29,1.915,1.664,0.668
HFE_H63D,wt,Krvný obr._DIFF_5pop: Lymfocyty_#,927,1.38,0.895,1.91,1.499,0.836
HFE_H63D,het,Krvný obr._DIFF_5pop: Bazofilily_#,335,0.02,0.01,0.03,0.029,0.043
HFE_H63D,hom,Krvný obr._DIFF_5pop: Bazofilily_#,35,0.02,0.01,0.025,0.021,0.011
HFE_H63D,wt,Krvný obr._DIFF_5pop: Bazofilily_#,927,0.02,0.01,0.03,0.027,0.03
HFE_H63D,het,Krvný obr._DIFF_5pop: Bazofily_%,335,0.3,0.1,0.5,0.373,0.368
HFE_H63D,hom,Krvný obr._DIFF_5pop: Bazofily_%,35,0.3,0.2,0.4,0.326,0.174
HFE_H63D,wt,Krvný obr._DIFF_5pop: Bazofily_%,927,0.3,0.1,0.5,0.372,0.351
HFE_H63D,het,Krvný obr._DIFF_5pop: Eozinofily_%,335,2.0,0.8,3.3,2.465,2.265
HFE_H63D,hom,Krvný obr._DIFF_5pop: Eozinofily_%,35,1.3,0.5,2.65,1.634,1.37
HFE_H63D,wt,Krvný obr._DIFF_5pop: Eozinofily_%,926,1.6,0.7,3.1,2.22,2.342
HFE_H63D,het,Krvný obr._DIFF_5pop: Monocyty_#,335,0.59,0.42,0.82,0.662,0.373
HFE_H63D,hom,Krvný obr._DIFF_5pop: Monocyty_#,35,0.42,0.325,0.77,0.526,0.268
HFE_H63D,wt,Krvný obr._DIFF_5pop: Monocyty_#,926,0.57,0.42,0.76,0.64,0.354
HFE_H63D,het,Krvný obr._DIFF_5pop: Monocyty_%,335,8.2,6.1,10.65,8.627,3.736
HFE_H63D,hom,Krvný obr._DIFF_5pop: Monocyty_%,35,7.3,5.85,8.6,7.606,2.383
HFE_H63D,wt,Krvný obr._DIFF_5pop: Monocyty_%,926,7.9,6.0,10.0,8.504,3.902
HFE_H63D,het,Krvný obr._DIFF_5pop: Eozinofily_#,335,0.13,0.06,0.23,0.175,0.168
HFE_H63D,hom,Krvný obr._DIFF_5pop: Eozinofily_#,35,0.1,0.03,0.16,0.109,0.092
HFE_H63D,wt,Krvný obr._DIFF_5pop: Eozinofily_#,926,0.11,0.05,0.2,0.151,0.153
HFE_H63D,het,Krvný obr._DIFF_5pop: Šírka dist.kriv._RBC,335,14.5,13.5,16.15,15.165,2.424
