Marker,Genotyp,Lab_parameter,N,Median,Q1,Q3,Priemer,SD
HFE_H63D,het,Lipáza_S,58,1.84,1.015,3.8,3.88,4.706
HFE_H63D,hom,Lipáza_S,7,0.41,0.4,0.52,0.504,0.187
HFE_H63D,wt,Lipáza_S,168,3.025,0.808,9.38,14.463,48.947
HFE_H63D,het,Imunoblot ANA: AMA-M2,42,0.0,0.0,0.0,0.038,0.117
HFE_H63D,wt,Imunoblot ANA: AMA-M2,140,0.0,0.0,0.0,0.039,0.139
HFE_H63D,het,Imunoblot ANA: U1-sn RNP,42,0.0,0.0,0.0,0.048,0.159
HFE_H63D,wt,Imunoblot ANA: U1-sn RNP,140,0.0,0.0,0.0,0.093,0.616
HFE_H63D,het,alfa1 AT_S,58,1.33,1.23,1.802,1.548,0.501
HFE_H63D,wt,alfa1 AT_S,202,1.465,1.262,1.748,1.547,0.435
HFE_H63D,het,Imunoblot ANA: CENP-B,42,0.0,0.0,0.0,0.0,0.0
HFE_H63D,wt,Imunoblot ANA: CENP-B,140,0.0,0.0,0.0,0.03,0.175
HFE_H63D,het,Imunoblot ANA: Scl-70,42,0.0,0.0,0.0,0.027,0.142
HFE_H63D,wt,Imunoblot ANA: Scl-70,140,0.0,0.0,0.0,0.031,0.227
HFE_H63D,het,Imunoblot ANA: Mi-2,42,0.0,0.0,0.0,0.009,0.056
HFE_H63D,wt,Imunoblot ANA: Mi-2,140,0.0,0.0,0.0,0.02,0.094
HFE_H63D,het,Imunoblot ANA: Ku,42,0.0,0.0,0.0,0.011,0.052
HFE_H63D,wt,Imunoblot ANA: Ku,140,0.0,0.0,0.0,0.029,0.172
HFE_H63D,het,Imunoblot ANA: dsDNA,42,0.0,0.0,0.408,0.317,0.601
HFE_H63D,wt,Imunoblot ANA: dsDNA,140,0.0,0.0,0.24,0.148,0.25
HFE_H63D,het,Imunoblot ANA: Histones,42,0.0,0.0,0.0,0.101,0.257
HFE_H63D,wt,Imunoblot ANA: Histones,140,0.0,0.0,0.0,0.062,0.173
HFE_H63D,het,Imunoblot ANA: Nucleosomes,42,0.0,0.0,0.0,0.092,0.443
HFE_H63D,wt,Imunoblot ANA: Nucleosomes,140,0.0,0.0,0.0,0.028,0.169
HFE_H63D,het,Imunoblot ANA: PM-Scl,42,0.0,0.0,0.0,0.013,0.061
HFE_H63D,wt,Imunoblot ANA: PM-Scl,140,0.0,0.0,0.0,0.058,0.257
HFE_H63D,het,Imunoblot ANA: Jo-1,42,0.0,0.0,0.0,0.029,0.095
HFE_H63D,wt,Imunoblot ANA: Jo-1,140,0.0,0.0,0.0,0.047,0.525
HFE_H63D,het,Imunoblot ANA: SS-A/Ro52kD,42,0.0,0.0,0.0,0.064,0.335
HFE_H63D,wt,Imunoblot ANA: SS-A/Ro52kD,140,0.0,0.0,0.0,0.097,0.481
HFE_H63D,het,Imunoblot ANA: SS-A/Ro60kD,42,0.0,0.0,0.0,0.049,0.237
HFE_H63D,wt,Imunoblot ANA: SS-A/Ro60kD,140,0.0,0.0,0.0,0.068,0.533
HFE_H63D,het,Imunoblot ANA: Rib-PO,42,0.0,0.0,0.0,0.064,0.225
HFE_H63D,wt,Imunoblot ANA: Rib-PO,140,0.0,0.0,0.0,0.077,0.274
HFE_H63D,het,Imunoblot ANA: PCNA,42,0.0,0.0,0.0,0.01,0.045
HFE_H63D,wt,Imunoblot ANA: PCNA,140,0.0,0.0,0.0,0.049,0.216
HFE_H63D,het,Imunoblot ANA: SmD1,42,0.0,0.0,0.0,0.015,0.071
HFE_H63D,wt,Imunoblot ANA: SmD1,139,0.0,0.0,0.0,0.009,0.07
HFE_H63D,het,Imunoblot ANA: SS-B/La,42,0.0,0.0,0.0,0.053,0.125
HFE_H63D,wt,Imunoblot ANA: SS-B/La,136,0.0,0.0,0.0,0.121,0.635
HFE_H63D,het,p-ANCA,23,1.1,0.71,2.32,1.776,1.709
HFE_H63D,wt,p-ANCA,92,1.19,0.678,2.21,1.652,1.544
HFE_H63D,het,c-ANCA,23,1.46,0.65,3.31,2.555,2.761
HFE_H63D,wt,c-ANCA,90,1.33,0.673,2.28,2.202,3.211
HFE_H63D,het,Troponín T hs,41,14.0,7.0,30.0,146.393,796.974
HFE_H63D,hom,Troponín T hs,12,62.5,9.0,165.5,100.917,109.866
HFE_H63D,wt,Troponín T hs,129,6.0,0.036,20.0,24.947,51.454
HFE_H63D,het,Interleukín -6,20,29.1,16.65,140.025,130.15,221.278
HFE_H63D,hom,Interleukín -6,6,1.75,1.55,1.95,1.95,0.641
HFE_H63D,wt,Interleukín -6,87,29.5,8.4,80.1,949.363,5591.498
HFE_H63D,het,Kalcium ionizované_S,21,1.137,1.11,1.224,1.168,0.147
HFE_H63D,wt,Kalcium ionizované_S,112,1.06,0.94,1.148,1.008,0.235
HFE_H63D,het,D_dimer INOV,18,3755.0,1482.5,9237.5,5968.889,5978.309
HFE_H63D,hom,D_dimer INOV,5,190.0,190.0,210.0,208.0,30.332
HFE_H63D,wt,D_dimer INOV,67,910.0,410.0,4725.0,4163.284,7879.797
HFE_H63D,het,T Ly_CD3+,12,78.5,75.0,80.0,76.75,8.561
HFE_H63D,wt,T Ly_CD3+,40,79.5,70.75,83.0,76.65,9.947
HFE_H63D,het,Ak.TLyCD3+HLADR+_ap,12,148.5,134.5,172.0,146.083,48.84
HFE_H63D,wt,Ak.TLyCD3+HLADR+_ap,40,155.0,108.5,219.75,240.55,269.459
HFE_H63D,het,Lymfocyty,12,22.0,18.0,26.5,21.917,6.762
HFE_H63D,wt,Lymfocyty,40,28.0,18.5,33.25,25.7,11.576
HFE_H63D,het,Leukocyty,12,5.45,4.025,7.35,7.367,6.288
HFE_H63D,wt,Leukocyty,40,6.7,5.075,8.125,7.105,3.716
HFE_H63D,het,Aktiv.TLy_CD3+HLADR+,12,11.0,7.75,14.0,12.0,6.15
HFE_H63D,wt,Aktiv.TLy_CD3+HLADR+,40,11.0,7.75,17.25,13.1,6.957
HFE_H63D,het,T Ly_CD3+_ a.p.,12,987.5,854.5,1262.75,1017.917,370.707
HFE_H63D,wt,T Ly_CD3+_ a.p.,40,1287.5,863.75,1646.25,1323.125,831.798
HFE_H63D,het,Pomoc.TLy_CD4+_a.p,11,733.0,594.0,911.5,714.0,313.015
HFE_H63D,wt,Pomoc.TLy_CD4+_a.p,40,754.0,530.0,1093.5,813.825,454.879
HFE_H63D,het,Pomoc.TLy_CD4+,11,54.0,49.5,59.5,50.455,16.052
HFE_H63D,wt,Pomoc.TLy_CD4+,40,49.0,44.0,59.0,48.825,12.241
HFE_H63D,het,B Ly _CD19+_ a.p.,11,87.0,75.5,146.5,106.909,51.475
HFE_H63D,wt,B Ly _CD19+_ a.p.,40,141.0,66.75,191.5,147.15,99.098
HFE_H63D,het,NKbb._CD16+CD56+_ap,11,213.0,124.5,221.0,177.545,65.668
HFE_H63D,wt,NKbb._CD16+CD56+_ap,40,155.5,85.25,245.25,199.65,181.649
HFE_H63D,het,NKbb._ CD16+CD56+,11,13.0,11.5,16.0,14.909,9.481
HFE_H63D,wt,NKbb._ CD16+CD56+,40,10.5,7.0,14.25,11.85,7.051
HFE_H63D,het,Cyt.TLy_CD8+,11,26.0,19.5,26.0,24.727,9.111
HFE_H63D,wt,Cyt.TLy_CD8+,40,22.5,18.0,31.0,24.725,8.956
HFE_H63D,het,B Ly_ CD19+,11,8.0,5.5,10.0,7.909,3.239
HFE_H63D,wt,B Ly_ CD19+,40,9.0,6.75,12.25,9.8,6.434
HFE_H63D,het,Imunoreg.index_IRI,11,2.3,1.9,3.2,2.4,1.193
HFE_H63D,wt,Imunoreg.index_IRI,40,2.1,1.475,3.025,2.332,1.199
HFE_H63D,het,Cyt.TLy_CD8+_a.p,11,271.0,228.0,406.0,311.455,105.886
HFE_H63D,wt,Cyt.TLy_CD8+_a.p,40,371.5,192.5,510.0,454.75,480.859
HFE_H63D,wt,Žlčové kyseliny,16,5.15,4.25,12.6,46.15,93.998
HFE_H63D,het,anti TPO_S,7,28.0,16.21,31.8,204.563,483.133
HFE_H63D,wt,anti TPO_S,36,42.775,28.0,193.775,280.231,474.916
HFE_H63D,het,Krvný obr._DIFF_RET: Bazofily_#,28,0.01,0.0,0.022,0.018,0.02
HFE_H63D,wt,Krvný obr._DIFF_RET: Bazofily_#,118,0.01,0.01,0.03,0.028,0.044
HFE_H63D,het,Krvný obr._DIFF_RET: Stredná konc._HGB,28,31.6,29.05,33.225,31.414,3.797
HFE_H63D,wt,Krvný obr._DIFF_RET: Stredná konc._HGB,118,30.5,28.925,33.3,31.33,4.229
HFE_H63D,het,Krvný obr._DIFF_RET: Stred. far.konc._HGB,28,324.5,320.75,337.5,330.429,16.169
HFE_H63D,wt,Krvný obr._DIFF_RET: Stred. far.konc._HGB,118,334.5,322.25,347.0,333.576,18.884
HFE_H63D,het,Krvný obr._DIFF_RET: Stredný objem_RBC,28,93.5,90.9,99.9,94.961,9.992
HFE_H63D,wt,Krvný obr._DIFF_RET: Stredný objem_RBC,118,91.8,87.025,98.375,93.827,10.948
HFE_H63D,het,Krvný obr._DIFF_RET: Trombocyty_PLT,28,152.0,93.0,246.25,202.607,173.578
HFE_H63D,wt,Krvný obr._DIFF_RET: Trombocyty_PLT,118,203.0,132.5,274.5,206.915,116.834
HFE_H63D,het,Krvný obr._DIFF_RET: Retikulocyty_#,28,41.4,33.775,76.15,61.054,47.439
HFE_H63D,wt,Krvný obr._DIFF_RET: Retikulocyty_#,118,50.7,35.5,72.3,65.309,53.334
HFE_H63D,het,Krvný obr._DIFF_RET: Erytrocyty_RBC,28,3.89,3.39,4.6,4.054,0.952
HFE_H63D,wt,Krvný obr._DIFF_RET: Erytrocyty_RBC,118,3.855,3.242,4.45,3.823,0.91
HFE_H63D,het,Krvný obr._DIFF_RET: Leukocyty_WBC,28,5.8,4.45,6.95,6.882,5.124
HFE_H63D,wt,Krvný obr._DIFF_RET: Leukocyty_WBC,118,6.55,4.925,8.575,7.773,4.764
HFE_H63D,het,Krvný obr._DIFF_RET: Retikulocyty_%,28,1.0,0.775,1.8,1.586,1.401
HFE_H63D,wt,Krvný obr._DIFF_RET: Retikulocyty_%,118,1.25,0.9,2.2,2.007,2.483
HFE_H63D,het,Krvný obr._DIFF_RET: Hemoglobín_HGB,28,121.5,110.75,129.25,125.179,24.355
HFE_H63D,wt,Krvný obr._DIFF_RET: Hemoglobín_HGB,118,118.0,104.0,132.75,117.517,23.503
HFE_H63D,het,Krvný obr._DIFF_RET: Bazofily_%,28,0.2,0.0,0.325,0.339,0.501
HFE_H63D,wt,Krvný obr._DIFF_RET: Bazofily_%,118,0.2,0.1,0.5,0.397,0.507
HFE_H63D,het,Krvný obr._DIFF_RET: Hematokrit_HCT,28,0.369,0.34,0.405,0.379,0.068
HFE_H63D,wt,Krvný obr._DIFF_RET: Hematokrit_HCT,118,0.35,0.319,0.399,0.353,0.07
HFE_H63D,het,ABR_artéria: HCO3_B - akt.,35,20.2,18.35,23.8,20.986,4.892
HFE_H63D,wt,ABR_artéria: HCO3_B - akt.,130,21.9,18.2,25.0,21.428,5.89
HFE_H63D,het,ABR_artéria: O2_B sat,35,95.0,88.3,97.0,91.16,9.65
HFE_H63D,wt,ABR_artéria: O2_B sat,130,96.35,89.225,98.675,91.216,12.189
HFE_H63D,het,ABR_artéria: pH_B,35,7.339,7.226,7.428,7.33,0.126
HFE_H63D,wt,ABR_artéria: pH_B,130,7.383,7.334,7.434,7.361,0.128
HFE_H63D,het,ABR_artéria: HCO3_B -  stand.,35,21.4,18.1,22.95,20.737,4.294
HFE_H63D,wt,ABR_artéria: HCO3_B -  stand.,130,21.7,19.05,24.6,21.588,4.993
HFE_H63D,het,ABR_artéria: BB_B,35,41.6,37.65,44.7,41.54,5.548
HFE_H63D,wt,ABR_artéria: BB_B,130,43.7,39.425,46.975,42.75,6.844
HFE_H63D,het,ABR_artéria: BE_B,35,-3.5,-7.8,-1.45,-4.509,5.604
HFE_H63D,wt,ABR_artéria: BE_B,130,-3.1,-6.625,0.4,-3.558,6.733
HFE_H63D,het,Krvný obr._DIFF_RET: Monocyty_#,27,0.48,0.31,0.67,0.509,0.292
HFE_H63D,wt,Krvný obr._DIFF_RET: Monocyty_#,118,0.545,0.37,0.74,0.597,0.346
HFE_H63D,het,Krvný obr._DIFF_RET: Eozinofily_%,27,1.8,1.15,3.1,2.222,1.585
HFE_H63D,wt,Krvný obr._DIFF_RET: Eozinofily_%,118,1.9,0.8,2.975,2.497,3.67
HFE_H63D,het,Krvný obr._DIFF_RET: Lymfocyty_#,27,0.96,0.68,1.41,1.084,0.557
HFE_H63D,wt,Krvný obr._DIFF_RET: Lymfocyty_#,118,1.29,0.93,1.74,1.424,0.786
HFE_H63D,het,Krvný obr._DIFF_RET: Eozinofily_#,27,0.08,0.055,0.13,0.134,0.139
HFE_H63D,wt,Krvný obr._DIFF_RET: Eozinofily_#,118,0.105,0.05,0.18,0.178,0.386
HFE_H63D,het,Krvný obr._DIFF_RET: Monocyty_%,27,8.3,6.45,11.35,8.859,3.774
HFE_H63D,wt,Krvný obr._DIFF_RET: Monocyty_%,118,7.7,5.7,10.275,8.535,3.996
HFE_H63D,het,Krvný obr._DIFF_RET: Lymfocyty_%,27,19.5,14.5,22.9,19.222,7.063
HFE_H63D,wt,Krvný obr._DIFF_RET: Lymfocyty_%,118,20.55,14.5,28.1,21.332,9.857
HFE_H63D,het,Krvný obr._DIFF_RET: Neutrofily_%,27,69.9,63.25,75.15,69.352,9.411
HFE_H63D,wt,Krvný obr._DIFF_RET: Neutrofily_%,118,67.75,60.175,73.325,67.239,12.099
HFE_H63D,het,ABR_artéria: PO2_B,35,9.83,8.27,12.4,10.543,3.708
HFE_H63D,wt,ABR_artéria: PO2_B,130,10.975,8.03,17.278,12.726,6.35
HFE_H63D,het,ABR_artéria: PCO2_B,35,5.46,4.305,6.08,5.501,1.798
HFE_H63D,wt,ABR_artéria: PCO2_B,130,4.805,4.342,5.91,5.041,1.224
HFE_H63D,het,Krvný obr._DIFF_RET: Nezrelé formy RET,28,6.95,3.1,9.325,7.521,5.742
HFE_H63D,wt,Krvný obr._DIFF_RET: Nezrelé formy RET,117,8.2,5.0,15.6,11.284,8.656
HFE_H63D,het,Krvný obr._DIFF_RET: Neutrofily_#,27,3.8,2.81,4.785,4.439,3.005
HFE_H63D,wt,Krvný obr._DIFF_RET: Neutrofily_#,118,4.16,3.042,6.132,5.54,4.422
HFE_H63D,het,Meď_S,65,17.0,15.0,21.06,18.142,5.11
HFE_H63D,wt,Meď_S,209,17.9,14.5,21.6,18.752,5.521
HFE_H63D,het,Krvný obr._DIFF_RET: Šírka dist.kriv._RBC,27,14.6,13.55,15.75,14.926,1.966
HFE_H63D,wt,Krvný obr._DIFF_RET: Šírka dist.kriv._RBC,118,14.7,13.425,16.475,15.271,2.359
HFE_H63D,wt,Diff.rozpočet_ WBC: Lymfocyty,7,0.18,0.15,0.295,0.23,0.145
HFE_H63D,het,Beta2 mikroglob. _S,28,3.5,2.475,5.35,3.961,1.838
HFE_H63D,wt,Beta2 mikroglob. _S,94,2.8,2.225,3.975,3.628,2.429
HFE_H63D,wt,Diff.rozpočet_ WBC: Neutrofilné segmenty,8,0.55,0.32,0.747,0.549,0.233
HFE_H63D,het,NT-proBNP,44,570.5,195.25,8883.75,4772.091,6059.721
HFE_H63D,hom,NT-proBNP,5,109.0,32.0,10249.0,5511.8,7859.816
HFE_H63D,wt,NT-proBNP,100,1387.0,477.75,5008.5,5794.35,11268.116
HFE_H63D,het,CCP,12,2.185,0.735,3.48,2.376,2.095
HFE_H63D,wt,CCP,42,1.725,0.682,4.638,3.125,3.489
HFE_H63D,wt,Calprotektin,10,345.52,69.145,628.888,471.272,543.402
HFE_H63D,wt,Diff.rozpočet_ WBC: Monocyty,8,0.06,0.032,0.06,0.046,0.024
HFE_H63D,het,Krvný obr._DIFF_RET: Stredný objem_PLT,22,11.55,10.975,12.25,11.495,1.095
HFE_H63D,wt,Krvný obr._DIFF_RET: Stredný objem_PLT,105,10.8,10.2,11.6,10.909,1.065
HFE_H63D,het,CVK_S,55,43.0,30.75,58.7,45.458,19.463
HFE_H63D,wt,CVK_S,141,47.6,33.2,61.6,47.483,18.17
HFE_H63D,het,NVK_S,54,27.25,11.275,41.75,27.754,17.975
HFE_H63D,wt,NVK_S,137,30.3,11.1,41.6,29.157,19.298
HFE_H63D,het,Trombínový čas,41,19.3,16.8,21.3,19.634,4.212
HFE_H63D,wt,Trombínový čas,114,18.4,16.0,21.275,19.048,3.993
HFE_H63D,het,ANA  HEp-2,14,5.095,2.002,7.128,5.015,2.947
HFE_H63D,wt,ANA  HEp-2,48,6.13,2.02,8.265,12.593,42.901
HFE_H63D,het,dsDNA IgG,12,3.085,1.838,4.035,5.466,7.308
HFE_H63D,wt,dsDNA IgG,48,3.13,1.445,7.32,16.084,51.208
HFE_H63D,wt,anti- transglut. IgA,6,1.76,0.985,58.658,31.948,48.857
HFE_H63D,het,anti TG_S,7,16.0,15.0,25.0,33.143,41.515
HFE_H63D,wt,anti TG_S,31,20.0,15.0,177.5,107.839,138.335
HFE_H63D,wt,Diff.rozpočet_ WBC: Eozinofily,5,0.05,0.04,0.06,0.048,0.019
HFE_H63D,het,AFP_S,40,3.57,2.508,5.832,4.919,5.046
HFE_H63D,wt,AFP_S,140,3.505,2.175,5.912,319.745,2085.572
HFE_H63D,wt,CIK_S,6,68.0,68.0,70.25,67.5,14.096
HFE_H63D,het,Etanol v sére,57,0.03,0.03,0.204,0.372,0.881
HFE_H63D,wt,Etanol v sére,132,0.03,0.03,0.043,0.297,0.765
HFE_H63D,het,Prealbumín_S,5,0.27,0.24,0.27,0.222,0.097
HFE_H63D,wt,Prealbumín_S,14,0.185,0.09,0.308,0.199,0.127
HFE_H63D,het,Cholinesteráza_S,36,140.31,96.81,175.27,135.886,56.439
HFE_H63D,wt,Cholinesteráza_S,134,123.97,83.5,177.3,133.631,70.757
HFE_H63D,het,Glykémia_5/4,30,8.15,5.925,10.375,8.047,3.35
HFE_H63D,wt,Glykémia_5/4,118,8.9,6.125,14.225,10.623,5.776
HFE_H63D,het,Imunoblot Liver Pro: SLA,33,0.0,0.0,0.0,0.131,0.582
HFE_H63D,wt,Imunoblot Liver Pro: SLA,114,0.0,0.0,0.0,0.008,0.069
HFE_H63D,het,Imunoblot Liver Pro: LKM1,33,0.0,0.0,0.0,0.098,0.332
HFE_H63D,wt,Imunoblot Liver Pro: LKM1,114,0.0,0.0,0.0,0.049,0.17
HFE_H63D,het,Imunoblot Liver Pro: AMA-M2,33,0.0,0.0,0.0,0.084,0.195
HFE_H63D,wt,Imunoblot Liver Pro: AMA-M2,114,0.0,0.0,0.0,0.055,0.121
HFE_H63D,wt,Diff.rozpočet_ WBC: Neutrofil.nesegmenty,6,0.055,0.028,0.09,0.058,0.041
HFE_H63D,het,Imunoblot Liver Pro: Sp100,33,0.0,0.0,0.0,0.03,0.174
HFE_H63D,wt,Imunoblot Liver Pro: Sp100,114,0.0,0.0,0.0,0.067,0.544
HFE_H63D,het,Imunoblot Liver Pro: LC1,33,0.0,0.0,0.0,0.059,0.143
HFE_H63D,wt,Imunoblot Liver Pro: LC1,114,0.0,0.0,0.0,0.061,0.181
HFE_H63D,het,Imunoblot Liver Pro: gp210,33,0.23,0.0,0.4,0.385,0.729
HFE_H63D,wt,Imunoblot Liver Pro: gp210,114,0.0,0.0,0.318,0.232,0.494
HFE_H63D,het,CEA _S,15,1.789,1.17,3.335,5.25,11.873
HFE_H63D,wt,CEA _S,54,2.203,1.313,5.027,22.726,129.746
HFE_H63D,het,AMAM2,29,1.04,0.3,2.7,1.835,2.584
HFE_H63D,wt,AMAM2,99,0.98,0.32,1.81,1.717,3.001
HFE_H63D,het,IgE celkové FOOKE,9,26.12,19.27,77.62,166.026,322.009
HFE_H63D,wt,IgE celkové FOOKE,24,21.365,13.245,55.39,89.608,198.433
HFE_H63D,het,Močový sediment: Valce,25,1.0,0.0,3.0,1.56,1.71
HFE_H63D,wt,Močový sediment: Valce,60,1.0,0.0,1.0,1.35,2.73
HFE_H63D,het,CA 19-9_S,14,5.5,2.0,21.525,459.774,1633.883
HFE_H63D,wt,CA 19-9_S,53,7.8,2.3,26.7,2863.412,19231.631
HFE_H63D,het,SLA a LP,27,0.81,0.62,1.325,6.183,24.05
HFE_H63D,wt,SLA a LP,91,0.76,0.415,1.255,1.35,2.14
HFE_H63D,het,LKM1,27,0.41,0.22,0.77,0.67,1.11
HFE_H63D,wt,LKM1,93,0.32,0.1,0.74,0.617,1.084
HFE_H63D,het,NSE_S,22,14.895,10.29,20.443,16.742,7.535
HFE_H63D,wt,NSE_S,85,14.78,11.0,19.06,16.522,8.079
HFE_H63D,het,Osmolalita_S,7,288.0,281.0,291.5,288.143,9.771
HFE_H63D,wt,Osmolalita_S,38,291.0,284.25,299.0,293.368,16.162
HFE_H63D,het,HBDH_S,7,3.5,2.9,7.75,7.271,7.743
HFE_H63D,wt,HBDH_S,9,4.6,3.8,5.9,5.989,5.042
HFE_H63D,het,Haptoglobín_S,33,0.71,0.26,1.48,1.004,1.042
HFE_H63D,wt,Haptoglobín_S,105,0.98,0.43,1.67,1.148,0.961
HFE_H63D,het,Glykémia_5/3,27,6.8,5.2,8.75,7.948,4.279
HFE_H63D,wt,Glykémia_5/3,81,8.5,6.1,12.3,9.823,5.018
HFE_H63D,het,Antitrombín III,23,54.9,44.55,66.05,58.761,18.593
HFE_H63D,wt,Antitrombín III,67,75.0,55.65,99.9,80.655,35.93
HFE_H63D,het,Proteinúria kvant._U,14,0.175,0.103,0.431,0.454,0.578
HFE_H63D,wt,Proteinúria kvant._U,32,0.161,0.099,0.353,0.378,0.603
HFE_H63D,het,Factor V,33,77.2,55.5,125.6,89.794,49.534
HFE_H63D,wt,Factor V,87,110.5,72.35,162.8,114.234,50.717
HFE_H63D,het,Kreatinín_U (zbier.),17,6070.0,3950.0,9130.0,6571.353,3451.258
HFE_H63D,wt,Kreatinín_U (zbier.),23,5190.0,3690.0,6346.0,5529.926,2743.973
HFE_H63D,het,LC1,21,0.64,0.46,1.04,0.813,0.607
HFE_H63D,wt,LC1,75,0.85,0.445,1.38,1.018,0.896
HFE_H63D,wt,anti- transglut. IgG,6,5.96,0.668,64.99,30.342,42.378
HFE_H63D,het,Amoniak_P,42,49.5,35.0,84.25,65.595,52.07
HFE_H63D,wt,Amoniak_P,73,60.0,45.0,80.0,66.0,35.207
HFE_H63D,het,Tub. resorbcia,16,98.655,97.85,98.968,97.393,3.928
HFE_H63D,wt,Tub. resorbcia,21,97.45,96.8,98.66,95.822,6.366
HFE_H63D,het,Amyláza_U (jednoráz),8,3.485,1.852,10.09,7.485,8.747
HFE_H63D,wt,Amyláza_U (jednoráz),77,6.14,2.54,20.41,31.29,109.341
HFE_H63D,het,Glykémia_5/2,22,10.05,8.125,12.925,10.505,3.197
HFE_H63D,wt,Glykémia_5/2,65,10.4,7.4,13.3,10.715,4.277
HFE_H63D,wt,ASCA IgG,11,3.66,2.75,9.185,13.872,29.598
HFE_H63D,wt,ASCA IgA,11,3.96,2.02,14.13,31.604,61.731
HFE_H63D,het,Punktát_WBC,41,0.17,0.09,0.32,0.461,1.326
HFE_H63D,wt,Punktát_WBC,75,0.18,0.08,0.345,0.478,0.969
HFE_H63D,wt,DGP IgA,12,0.85,0.458,1.918,7.293,17.019
HFE_H63D,wt,DGP IgG,12,1.72,0.682,4.812,12.209,23.844
HFE_H63D,het,HbA1c %,14,7.15,6.05,8.0,6.993,1.337
HFE_H63D,wt,HbA1c %,40,7.05,6.175,9.45,7.768,2.271
HFE_H63D,het,HbA1c,14,55.5,42.95,64.975,53.857,15.148
HFE_H63D,wt,HbA1c,40,54.5,44.55,81.75,62.717,25.974
HFE_H63D,wt,DNP / Nucleo-h /,12,1.32,0.855,1.703,2.094,3.063
HFE_H63D,het,AMA-M2,23,1.01,0.46,2.27,8.433,33.434
HFE_H63D,wt,AMA-M2,78,1.45,0.785,2.585,2.387,3.234
HFE_H63D,het,IGG4,22,0.438,0.2,1.319,0.758,0.729
HFE_H63D,wt,IGG4,72,0.63,0.299,1.218,0.996,1.168
HFE_H63D,wt,ABR_kapilára: HCO3_B - akt.,17,22.5,17.6,24.5,21.618,3.957
HFE_H63D,wt,ABR_kapilára: PCO2_B,17,4.44,4.02,4.85,4.444,0.528
HFE_H63D,wt,ABR_kapilára: HCO3_B -  stand.,17,23.2,19.4,24.8,22.676,3.265
HFE_H63D,wt,ABR_kapilára: O2_B sat,17,92.9,90.6,94.2,92.447,2.993
HFE_H63D,wt,ABR_kapilára: PO2_B,17,8.16,7.68,8.62,8.575,1.739
HFE_H63D,wt,ABR_kapilára: pH_B,17,7.439,7.389,7.447,7.426,0.038
HFE_H63D,wt,ABR_kapilára: BE_B,17,-1.4,-6.1,0.6,-2.082,4.033
HFE_H63D,wt,ABR_kapilára: BB_B,17,46.6,41.5,48.4,44.976,4.432
HFE_H63D,het,Glykémia_5/1,18,5.45,4.05,8.85,6.467,2.831
HFE_H63D,wt,Glykémia_5/1,55,6.3,4.6,10.15,7.651,4.093
HFE_H63D,wt,Laktát_P_artéria,41,2.0,1.2,2.3,3.598,6.607
HFE_H63D,het,Laktát_P,19,3.0,2.6,3.75,3.184,1.017
HFE_H63D,wt,Laktát_P,47,2.4,2.0,3.15,2.709,1.321
HFE_H63D,wt,Solub.transf.recep_S,17,0.82,0.69,1.83,1.504,1.29
HFE_H63D,het,anti-SLA/LP,22,0.755,0.49,1.418,1.943,4.665
HFE_H63D,wt,anti-SLA/LP,67,0.89,0.63,1.39,1.494,2.023
HFE_H63D,het,anti-LKM-1,22,0.2,0.08,0.318,0.342,0.465
HFE_H63D,wt,anti-LKM-1,66,0.26,0.07,0.682,0.493,0.571
HFE_H63D,het,CA 72-4_S,5,1.97,1.89,2.33,2.37,1.107
HFE_H63D,wt,CA 72-4_S,28,1.25,0.922,2.732,17.346,59.129
HFE_H63D,wt,anti transglutam.IgA,11,1.13,0.5,2.635,2.22,2.883
HFE_H63D,het,CYFRA  21-1_S,5,3.62,1.84,7.11,7.694,9.559
HFE_H63D,wt,CYFRA  21-1_S,27,1.99,1.415,4.185,16.9,44.755
HFE_H63D,het,Glykémia_3/3,9,7.4,5.2,11.6,8.211,3.661
HFE_H63D,wt,Glykémia_3/3,57,10.4,5.7,13.5,10.523,5.437
HFE_H63D,wt,Kortizol_S_ a.m.,20,388.0,177.0,592.25,469.6,431.252
HFE_H63D,het,Glykémia_3/2,12,8.7,5.65,10.475,8.792,3.084
HFE_H63D,wt,Glykémia_3/2,53,11.0,8.8,13.0,10.934,4.818
HFE_H63D,het,PSAc_S,6,0.97,0.515,1.882,1.166,0.839
HFE_H63D,wt,PSAc_S,20,0.554,0.361,2.068,1.429,1.747
HFE_H63D,het,Chol.celk._ascites,23,1.29,1.29,1.29,1.45,0.607
HFE_H63D,wt,Chol.celk._ascites,52,1.29,1.29,1.29,1.31,0.277
HFE_H63D,het,Kortizol_S,11,395.0,244.0,608.0,415.909,248.109
HFE_H63D,wt,Kortizol_S,29,313.0,144.0,467.0,303.897,187.658
HFE_H63D,het,Signál Meď,17,1.65,0.6,3.15,2.835,3.099
HFE_H63D,wt,Signál Meď,55,2.23,1.4,3.375,2.753,2.467
HFE_H63D,het,Bielkovina_ ascites,24,18.85,13.425,25.425,24.108,15.3
HFE_H63D,wt,Bielkovina_ ascites,50,17.95,12.4,23.25,18.616,9.189
HFE_H63D,het,GF-rozdiel,16,-2.58,-16.578,55.578,31.028,86.075
HFE_H63D,wt,GF-rozdiel,21,0.94,-28.56,28.95,-0.643,41.244
HFE_H63D,het,LDH_ascites,24,1.3,0.8,1.7,2.067,2.528
