Marker,Lab_parameter,Test,Statistika,p_hodnota,n_het,n_hom,n_wt,median_het,median_hom,median_wt,p_FDR,Vyznamne_FDR,n_all_wt,n_any_het,n_any_hom,median_all_wt,median_any_het,median_any_hom
HFE_H63D,Krvný obr._DIFF_5pop: Šírka dist.kriv._RBC,Kruskal-Wallis,28.496,6.48736130992105e-07,335.0,35.0,927.0,14.5,13.1,14.7,6.009209164828507e-05,True,,,,,,
HFE_S65C,Krvný obr._DIFF_5pop: Bazofilily_#,Mann-Whitney U,17726.0,2.5737991717904074e-06,47.0,,1250.0,0.01,,0.02,8.943952121971666e-05,True,,,,,,
HFE_S65C,Krvný obr._DIFF_5pop: Lymfocyty_#,Mann-Whitney U,17408.0,2.0642015884931603e-06,47.0,,1250.0,0.89,,1.37,8.943952121971666e-05,True,,,,,,
HFE_H63D,GMT_S,Kruskal-Wallis,25.634,2.713615922837448e-06,754.0,48.0,2252.0,2.095,1.14,2.22,0.00014382164391038473,True,,,,,,
HFE_C282Y,CRP_S,Kruskal-Wallis,21.985,1.68296716110509e-05,161.0,48.0,2260.0,8.58,66.3,15.7,0.00021541979662145154,True,,,,,,
HFE_H63D,Bili-priamy_S,Kruskal-Wallis,23.529,7.777642984653233e-06,684.0,46.0,2042.0,9.9,4.1,11.8,0.00029443934156187234,True,,,,,,
HFE_H63D,Krvný obraz: Stredná konc._ HGB,Kruskal-Wallis,23.535,7.753383742501656e-06,461.0,5.0,1482.0,31.9,34.3,31.2,0.00029443934156187234,True,,,,,,
HFE_C282Y,Krvný obr._DIFF_5pop: Hemoglobín_HGB,Kruskal-Wallis,20.963,2.804879202020081e-05,105.0,14.0,1178.0,134.0,132.5,121.0,0.00033658550424240974,True,,,,,,
HFE_C282Y,Krvný obraz: Stredný objem_PLT,Kruskal-Wallis,20.777,3.07802513761736e-05,116.0,39.0,1682.0,10.9,10.4,11.0,0.00034763578024854893,True,,,,,,
HFE_C282Y,Krvný obr._DIFF_5pop: Šírka dist.kriv._RBC,Kruskal-Wallis,20.426,3.669872258075372e-05,105.0,14.0,1178.0,14.0,13.15,14.6,0.00038166497030148053,True,,,,,,
HFE_C282Y,GF(S)- MDRD,Kruskal-Wallis,20.368,3.7768929352750675e-05,215.0,49.0,2831.0,1.31,1.47,1.37,0.00038166497030148053,True,,,,,,
HFE_overall,Krvný obraz: Leukocyty_WBC,Kruskal-Wallis,20.052,4.424006561311336e-05,,,,,,,0.0007904225056209588,True,1269.0,635.0,44.0,7.3,6.9,8.65
HFE_C282Y,Železo_S,Kruskal-Wallis,18.693,8.724924319609152e-05,55.0,8.0,603.0,21.2,38.9,17.3,0.0008375927346824785,True,,,,,,
