Marker,Lab_parameter,Test,Statistika,p_hodnota,n_het,n_hom,n_wt,median_het,median_hom,median_wt,p_FDR,Vyznamne_FDR,n_all_wt,n_any_het,n_any_hom,median_all_wt,median_any_het,median_any_hom
HFE_C282Y,Imunoblot Liver Pro: LKM1,Mann-Whitney U,949.5,0.022614050140813656,11.0,,138.0,0.0,,0.0,0.10952823989816847,False,,,,,,
HFE_S65C,APTT: APTT_sekundy,Mann-Whitney U,103154.0,0.025275398457911075,95.0,,1912.0,29.6,,29.5,0.10979001205155123,False,,,,,,
HFE_S65C,Amyláza_S,Mann-Whitney U,26166.0,0.028650217743476404,66.0,,945.0,0.76,,0.84,0.11062167406508944,False,,,,,,
HFE_S65C,Cholest-LDL_S,Mann-Whitney U,1238.0,0.026268126481015144,11.0,,371.0,1.98,,2.9,0.11062167406508944,False,,,,,,
HFE_S65C,Krvný obr._DIFF_5pop: Monocyty_%,Mann-Whitney U,34879.0,0.028210606443701377,47.0,,1249.0,9.2,,7.9,0.11062167406508944,False,,,,,,
HFE_S65C,TSH_S,Mann-Whitney U,4228.5,0.027822930693046064,20.0,,327.0,3.156,,1.924,0.11062167406508944,False,,,,,,
HFE_S65C,CA 19-9_S,Mann-Whitney U,291.0,0.029616253402539514,6.0,,63.0,28.25,,7.3,0.1112610600798106,False,,,,,,
HFE_S65C,AFP_S,Mann-Whitney U,1111.0,0.03119382839338021,9.0,,173.0,6.47,,3.41,0.11410374070210129,False,,,,,,
HFE_C282Y,Krvný obraz: Stred. far.konc._HGB,Kruskal-Wallis,7.312,0.025831935047831222,122.0,39.0,1787.0,336.0,335.0,333.0,0.12096906168740475,False,,,,,,
HFE_overall,Krvný obr._DIFF_5pop: Lymfocyty_#,Kruskal-Wallis,7.654,0.021779113743030386,,,,,,,0.12418728687515199,False,787.0,461.0,49.0,1.38,1.29,1.58
HFE_overall,Krvný obr._DIFF_RET: Stred. far.konc._HGB,Kruskal-Wallis,7.595,0.022425092623707923,,,,,,,0.12520676714903592,False,103.0,40.0,5.0,336.0,323.5,328.0
HFE_S65C,Močový sediment: Leukocyty,Mann-Whitney U,4337.0,0.03515369994019821,27.0,,410.0,28.0,,2026.0,0.1252913920945526,False,,,,,,
HFE_H63D,Fosfor_S,Mann-Whitney U,6722.0,0.018525316462620487,67.0,,247.0,1.0,,1.09,0.1291897069103797,False,,,,,,
HFE_H63D,Factor V,Mann-Whitney U,1031.5,0.01771460119692525,33.0,,87.0,77.2,,110.5,0.1291897069103797,False,,,,,,
HFE_H63D,Krvný obr._DIFF_RET: Lymfocyty_#,Mann-Whitney U,1128.0,0.01830307385402272,27.0,,118.0,0.96,,1.29,0.1291897069103797,False,,,,,,
HFE_C282Y,Krvný obr._DIFF_5pop: Stred.far.konc._HGB,Kruskal-Wallis,7.082,0.02898066714449043,105.0,14.0,1178.0,337.0,326.5,335.0,0.12965416591111015,False,,,,,,
HFE_C282Y,Amoniak_P,Mann-Whitney U,1110.5,0.029037130907175707,17.0,,98.0,89.0,,54.5,0.12965416591111015,False,,,,,,
HFE_H63D,Krvný obr._DIFF_5pop: Hematokrit_HCT,Kruskal-Wallis,7.911,0.01915370654782633,335.0,35.0,927.0,0.358,0.382,0.365,0.13014698038907635,False,,,,,,
HFE_H63D,Glukóza_pleur.punkt.,Mann-Whitney U,203.5,0.01992584991635951,19.0,,35.0,6.18,,6.94,0.13200875569588177,False,,,,,,
HFE_overall,APTT: APTT_sekundy,Kruskal-Wallis,7.438,0.024252757932904177,,,,,,,0.13264773726568,False,1306.0,663.0,38.0,29.5,29.7,28.4
HFE_C282Y,dsDNA IgG,Mann-Whitney U,73.0,0.03201095283257616,6.0,,53.0,1.18,,3.41,0.1396841578148778,False,,,,,,
HFE_overall,Beta2 mikroglob. _S,Mann-Whitney U,1194.5,0.02652339358192625,,,,,,,0.1421653895991247,False,84.0,38.0,,2.8,3.5,
HFE_C282Y,Krvný obr._DIFF_5pop: Eozinofily_#,Kruskal-Wallis,6.716,0.03480882481804471,105.0,14.0,1177.0,0.12,0.24,0.12,0.1462093415324649,False,,,,,,
HFE_C282Y,Glykémia_3/3,Mann-Whitney U,85.0,0.035029321408819716,6.0,,60.0,5.55,,10.55,0.1462093415324649,False,,,,,,
HFE_H63D,LD_S,Kruskal-Wallis,7.493,0.023601636513050642,69.0,15.0,245.0,3.83,3.06,3.72,0.15254716282825415,False,,,,,,
HFE_H63D,Krvný obr._DIFF_5pop: Eozinofily_#,Kruskal-Wallis,7.349,0.025358282152871014,335.0,35.0,926.0,0.13,0.1,0.11,0.15430795501115277,False,,,,,,
HFE_H63D,Triacylglyceroly_S,Kruskal-Wallis,7.372,0.025068810638574412,109.0,6.0,324.0,1.75,1.07,1.58,0.15430795501115277,False,,,,,,
HFE_H63D,Glykémia_3/1,Mann-Whitney U,176.5,0.025620943473549894,13.0,,46.0,4.5,,6.25,0.15430795501115277,False,,,,,,
HFE_C282Y,Krvný obr._DIFF_5pop: Bazofilily_#,Kruskal-Wallis,6.536,0.03808409759531649,105.0,14.0,1178.0,0.02,0.01,0.02,0.15550144915730807,False,,,,,,
HFE_C282Y,Krvný obr._DIFF_5pop: Bazofily_%,Kruskal-Wallis,6.495,0.03887536228932702,105.0,14.0,1178.0,0.2,0.15,0.3,0.15550144915730807,False,,,,,,
HFE_overall,Glykémia_3/1,Mann-Whitney U,513.5,0.030904367878035865,,,,,,,0.15927635752526176,False,40.0,19.0,,6.25,4.6,
HFE_overall,Krvný obr._DIFF_5pop: Bazofily_%,Kruskal-Wallis,6.969,0.030672988596853773,,,,,,,0.15927635752526176,False,787.0,461.0,49.0,0.3,0.3,0.2
HFE_H63D,GF(S)- MDRD,Kruskal-Wallis,7.18,0.027592069609024834,725.0,36.0,2334.0,1.37,1.205,1.37,0.16248663214203513,False,,,,,,
HFE_S65C,T3f_S,Mann-Whitney U,186.0,0.04842289323521649,8.0,,81.0,2.95,,3.7,0.16826955399237728,False,,,,,,
HFE_overall,Krvný obr._DIFF_5pop: Bazofilily_#,Kruskal-Wallis,6.753,0.03417059927227546,,,,,,,0.17278718122584572,False,787.0,461.0,49.0,0.02,0.02,0.02
HFE_overall,Glykémia_5/3,Mann-Whitney U,1576.5,0.035396960594003685,,,,,,,0.17567380442949979,False,74.0,34.0,,8.55,6.7,
HFE_overall,Lipáza_S,Kruskal-Wallis,6.589,0.03709469516877002,,,,,,,0.1807523328223703,False,150.0,71.0,12.0,3.09,1.77,0.74
HFE_overall,Krvný obr._DIFF_5pop: Trombocyty_PLT,Kruskal-Wallis,6.468,0.03939127496674621,,,,,,,0.18201485674289625,False,787.0,461.0,49.0,223.0,205.0,227.0
HFE_overall,Amyláza_U (jednoráz),Kruskal-Wallis,6.485,0.03906539556334759,,,,,,,0.18201485674289625,False,64.0,10.0,11.0,5.365,3.485,13.86
HFE_overall,Fosfor_S,Kruskal-Wallis,6.478,0.03919597326984593,,,,,,,0.18201485674289625,False,218.0,94.0,6.0,1.12,1.01,1.125
HFE_S65C,GMT_S,Mann-Whitney U,175130.5,0.05459074667693312,133.0,,2921.0,1.76,,2.17,0.18507594605106595,False,,,,,,
HFE_H63D,Krvný obr._DIFF_5pop: Hemoglobín_HGB,Kruskal-Wallis,6.826,0.03293774570279513,335.0,35.0,927.0,120.0,128.0,122.0,0.1897500567661024,False,,,,,,
HFE_C282Y,Krvný obr._DIFF_5pop: Eozinofily_%,Kruskal-Wallis,6.052,0.04851072490081241,105.0,14.0,1177.0,1.6,3.3,1.7,0.19008284042767312,False,,,,,,
HFE_H63D,Krvný obr._DIFF_5pop: Stredný objem_RBC,Kruskal-Wallis,6.732,0.034532765139586766,335.0,35.0,927.0,92.9,95.8,92.1,0.19470601621256367,False,,,,,,
HFE_overall,DNP / Nucleo-h /,Mann-Whitney U,42.0,0.04311071351849386,,,,,,,0.1958249359823111,False,10.0,5.0,,1.325,0.5,
HFE_C282Y,Chloridy-S,Kruskal-Wallis,5.948,0.05108725426482159,162.0,45.0,2487.0,103.0,104.0,103.0,0.1961750563769149,False,,,,,,
HFE_C282Y,Lipáza_S,Kruskal-Wallis,5.872,0.05309073964232856,14.0,5.0,214.0,1.675,7.4,2.565,0.19987101982994282,False,,,,,,
HFE_overall,Laktát_P,Mann-Whitney U,316.0,0.04503009285410259,,,,,,,0.2007298765580169,False,46.0,20.0,,2.4,2.95,
HFE_overall,Glukóza_pleur.punkt.,Mann-Whitney U,466.0,0.04568851667925012,,,,,,,0.2007298765580169,False,32.0,22.0,,6.965,6.315,
HFE_H63D,Železo_S,Kruskal-Wallis,6.623,0.036465860974604525,160.0,14.0,492.0,17.9,25.2,17.3,0.20132194079729582,False,,,,,,
HFE_H63D,Krvný obr._DIFF_5pop: Eozinofily_%,Kruskal-Wallis,6.469,0.03937145739826385,335.0,35.0,926.0,2.0,1.3,1.6,0.2036489395641103,False,,,,,,
HFE_H63D,Prokalcitonín_S,Kruskal-Wallis,6.402,0.04072978791282206,116.0,8.0,333.0,0.276,0.055,0.299,0.2036489395641103,False,,,,,,
HFE_H63D,ASLO_S,Mann-Whitney U,1485.0,0.03773335956520747,32.0,,122.0,51.0,,79.0,0.2036489395641103,False,,,,,,
HFE_H63D,Imunoblot Liver Pro: SLA,Mann-Whitney U,2020.0,0.04060415676116834,33.0,,114.0,0.0,,0.0,0.2036489395641103,False,,,,,,
HFE_H63D,Laktát_P,Mann-Whitney U,592.0,0.03981000521234167,19.0,,47.0,3.0,,2.4,0.2036489395641103,False,,,,,,
HFE_H63D,CA 125_S,Mann-Whitney U,121.0,0.04215659915471165,9.0,,18.0,29.3,,16.15,0.2068796069629368,False,,,,,,
HFE_C282Y,Krvný obr._DIFF_RET: Lymfocyty_%,Mann-Whitney U,523.0,0.05617049530358592,5.0,,139.0,30.2,,19.9,0.2073987518901634,False,,,,,,
HFE_overall,ASLO_S,Mann-Whitney U,2774.5,0.0489107428334604,,,,,,,0.2081617076420199,False,112.0,41.0,,82.5,54.0,
HFE_overall,Krvný obr._DIFF_5pop: Eozinofily_#,Kruskal-Wallis,6.029,0.049078479206461516,,,,,,,0.2081617076420199,False,786.0,461.0,49.0,0.11,0.13,0.14
HFE_overall,ANA  HEp-2,Mann-Whitney U,525.5,0.04971025854137789,,,,,,,0.2081617076420199,False,42.0,19.0,,6.735,3.77,
HFE_H63D,Amyláza_S,Kruskal-Wallis,6.166,0.0458173760151044,232.0,14.0,765.0,0.915,0.605,0.82,0.21681436864290474,False,,,,,,
HFE_H63D,Krvný obr._DIFF_5pop: Stredná konc._HGB,Kruskal-Wallis,6.194,0.04519199080636958,335.0,35.0,927.0,30.8,32.1,30.7,0.21681436864290474,False,,,,,,
HFE_H63D,Krvný obr._DIFF_RET: Nezrelé formy RET,Mann-Whitney U,1240.5,0.04673917681030888,28.0,,117.0,6.95,,8.2,0.21729617289003253,False,,,,,,
HFE_C282Y,Krvný obr._DIFF_RET: Hematokrit_HCT,Mann-Whitney U,524.0,0.060090952430345894,5.0,,140.0,0.387,,0.349,0.21768797861559266,False,,,,,,
HFE_H63D,IgA_S,Kruskal-Wallis,6.081,0.047816335319989654,104.0,8.0,343.0,2.725,1.56,2.81,0.21847118723788375,False,,,,,,
HFE_H63D,Cholest-LDL_S,Kruskal-Wallis,6.04,0.04881132714963473,91.0,6.0,285.0,3.11,2.205,2.83,0.21923731685852887,False,,,,,,
HFE_C282Y,IgG_S,Mann-Whitney U,4963.0,0.06386917913967746,28.0,,448.0,10.2,,11.7,0.22153430883687117,False,,,,,,
HFE_C282Y,Krvný obr._DIFF_RET: Retikulocyty_#,Mann-Whitney U,521.5,0.06388812724928426,5.0,,140.0,71.6,,49.45,0.22153430883687117,False,,,,,,
HFE_C282Y,Krvný obr._DIFF_RET: Hemoglobín_HGB,Mann-Whitney U,521.0,0.0646141734107541,5.0,,140.0,127.0,,116.5,0.22153430883687117,False,,,,,,
HFE_overall,Imunoblot ANA: Jo-1,Mann-Whitney U,3271.0,0.054298561397548094,,,,,,,0.223877145454506,False,126.0,55.0,,0.0,0.0,
HFE_S65C,Krvný obr._DIFF_5pop: Neutrofily_#,Mann-Whitney U,24743.5,0.06856377688033263,47.0,,1248.0,4.12,,4.575,0.22691345205633895,False,,,,,,
HFE_C282Y,Kys. močová_S,Kruskal-Wallis,5.325,0.06978936823569276,28.0,5.0,310.0,275.5,188.0,314.5,0.22729286694984718,False,,,,,,
HFE_C282Y,APTT: APTT_sekundy,Kruskal-Wallis,5.346,0.069027873241653,132.0,22.0,1853.0,28.4,28.8,29.6,0.22729286694984718,False,,,,,,
HFE_C282Y,Vitamín B12,Mann-Whitney U,1516.0,0.06984520390646345,15.0,,280.0,525.0,,701.0,0.22729286694984718,False,,,,,,
HFE_overall,Triacylglyceroly_S,Kruskal-Wallis,5.729,0.05701068177402699,,,,,,,0.23149791993089747,False,276.0,156.0,7.0,1.595,1.69,1.13
HFE_H63D,Krvný obr._DIFF_5pop: Monocyty_#,Kruskal-Wallis,5.884,0.052757109896821475,335.0,35.0,926.0,0.59,0.42,0.57,0.2330105687109615,False,,,,,,
HFE_overall,Feritin_S,Kruskal-Wallis,5.676,0.05853324878782612,,,,,,,0.23413299515130448,False,405.0,223.0,26.0,227.18,247.54,471.93
HFE_C282Y,Krvný obr._DIFF_RET: Erytrocyty_RBC,Mann-Whitney U,515.0,0.07465669921404483,5.0,,140.0,4.84,,3.82,0.23890143748494347,False,,,,,,
HFE_overall,Ceruloplazmín,Mann-Whitney U,20600.0,0.0607819274094202,,,,,,,0.23955230214300904,False,276.0,134.0,,0.25,0.24,
HFE_overall,Krvný obr._DIFF_RET: Eozinofily_%,Kruskal-Wallis,5.453,0.06543462377067845,,,,,,,0.2469926643738285,False,103.0,39.0,5.0,1.8,1.9,0.9
HFE_overall,Krvný obr._DIFF_5pop: Stredná konc._HGB,Kruskal-Wallis,5.481,0.06454723243786822,,,,,,,0.2469926643738285,False,787.0,461.0,49.0,30.7,30.9,31.7
HFE_overall,MIA_UJ (album/kreat),Mann-Whitney U,30.0,0.06454707255622588,,,,,,,0.2469926643738285,False,17.0,7.0,,9.21,63.56,
HFE_H63D,Glykémia_5/4,Mann-Whitney U,1373.0,0.05857407392352865,30.0,,118.0,8.15,,8.9,0.25446114081532933,False,,,,,,
HFE_H63D,Krvný obr._DIFF_5pop: Neutrofily_%,Kruskal-Wallis,5.526,0.0631010063520065,335.0,35.0,925.0,68.0,63.0,68.2,0.26729434696302523,False,,,,,,
HFE_H63D,Cholest-celk._S,Kruskal-Wallis,5.512,0.06354544852328524,117.0,7.0,350.0,4.92,4.5,4.71,0.26729434696302523,False,,,,,,
HFE_H63D,ALT_S,Kruskal-Wallis,5.425,0.06635960755029642,769.0,50.0,2344.0,0.86,1.14,0.84,0.2737251443787035,False,,,,,,
HFE_H63D,Glykémia_5/3,Mann-Whitney U,835.0,0.0671401297532669,27.0,,81.0,6.8,,8.5,0.2737251443787035,False,,,,,,
HFE_overall,CYFRA  21-1_S,Mann-Whitney U,65.5,0.073611862118669,,,,,,,0.273999708997268,False,22.0,10.0,,1.805,3.975,
HFE_overall,ELFO_S: gama_globulín,Kruskal-Wallis,5.16,0.07575857128138827,,,,,,,0.27812735758098706,False,306.0,157.0,13.0,12.5,12.6,8.63
HFE_overall,Krvný obr._DIFF_5pop: Eozinofily_%,Kruskal-Wallis,5.122,0.0772221368313036,,,,,,,0.2796693604160725,False,786.0,461.0,49.0,1.6,1.9,1.9
HFE_S65C,Moč chemicky _ úplne: Ketolátky,Mann-Whitney U,10371.0,0.08671892220391235,42.0,,550.0,0.0,,0.0,0.2803239578219492,False,,,,,,
HFE_C282Y,AMA-M2,Mann-Whitney U,557.0,0.08933274329019543,9.0,,92.0,2.41,,1.34,0.28117847068389384,False,,,,,,
HFE_C282Y,Krvný obr._DIFF_RET: Lymfocyty_#,Mann-Whitney U,502.5,0.09178407515110734,5.0,,139.0,1.69,,1.22,0.28215193421372564,False,,,,,,
HFE_C282Y,ELFO_S: gama_globulín,Mann-Whitney U,5250.0,0.09261073630128347,29.0,,445.0,11.38,,12.67,0.28215193421372564,False,,,,,,
HFE_C282Y,CCP,Mann-Whitney U,64.5,0.09405064473790854,5.0,,48.0,0.54,,2.1,0.28215193421372564,False,,,,,,
HFE_S65C,Krvný obr._DIFF_5pop: Neutrofily_%,Mann-Whitney U,33596.5,0.0899356258033508,47.0,,1248.0,71.6,,67.8,0.2841148178787673,False,,,,,,
HFE_C282Y,Imunoblot Liver Pro: AMA-M2,Mann-Whitney U,915.5,0.09653911553651566,11.0,,138.0,0.0,,0.0,0.28516169512324624,False,,,,,,
HFE_overall,Moč chemicky _ úplne: Ketolátky,Kruskal-Wallis,4.952,0.0840604686809009,,,,,,,0.28882314880104415,False,373.0,212.0,7.0,0.0,0.0,0.0
HFE_overall,IgM_S,Kruskal-Wallis,4.99,0.08250390652890087,,,,,,,0.28882314880104415,False,311.0,150.0,13.0,1.1,1.225,0.55
HFE_overall,Krvný obr._DIFF_5pop: Neutrofily_%,Kruskal-Wallis,4.992,0.08241661055847159,,,,,,,0.28882314880104415,False,785.0,461.0,49.0,68.1,68.1,64.2
HFE_overall,Krvný obr._DIFF_5pop: Stred.far.konc._HGB,Kruskal-Wallis,4.958,0.08382930368380764,,,,,,,0.28882314880104415,False,787.0,461.0,49.0,335.0,336.0,334.0
HFE_overall,NSE_S,Mann-Whitney U,927.0,0.0853794822461776,,,,,,,0.2896417878731088,False,76.0,31.0,,13.88,15.73,
HFE_S65C,Krvný obr._DIFF_5pop: Eozinofily_#,Mann-Whitney U,33567.0,0.09405042410642099,47.0,,1249.0,0.14,,0.12,0.2905113100176115,False,,,,,,
HFE_C282Y,CK-celková_S,Kruskal-Wallis,4.593,0.10063393139190488,36.0,6.0,544.0,1.055,1.205,1.53,0.2927532549582687,False,,,,,,
HFE_overall,Kreatinín_S,Kruskal-Wallis,4.867,0.08772848803215276,,,,,,,0.2938904349077117,False,2002.0,1016.0,86.0,76.75,77.8,83.4
HFE_overall,ABR_artéria: O2_B sat,Mann-Whitney U,2969.0,0.08955823469118211,,,,,,,0.2963161345337877,False,123.0,41.0,,96.4,95.0,
HFE_S65C,NVK_S,Mann-Whitney U,1298.0,0.09932781893140899,11.0,,182.0,42.4,,29.25,0.29924590610802676,False,,,,,,
HFE_S65C,Foláty,Mann-Whitney U,1445.5,0.1011838675329299,14.0,,279.0,4.1,,6.4,0.29924590610802676,False,,,,,,
HFE_S65C,Krvný obraz: Hematokrit_HCT,Mann-Whitney U,111281.0,0.10507171429692913,111.0,,1837.0,0.367,,0.35,0.30427017265152395,False,,,,,,
HFE_S65C,Krvný obr._DIFF_RET: Hematokrit_HCT,Mann-Whitney U,318.0,0.11390634643959431,7.0,,141.0,0.337,,0.355,0.3054097899093775,False,,,,,,
HFE_S65C,Krvný obraz: Hemoglobín_HGB,Mann-Whitney U,110926.5,0.11893689197996798,111.0,,1837.0,123.0,,115.0,0.3054097899093775,False,,,,,,
HFE_S65C,AST_S,Mann-Whitney U,200290.0,0.11059290037032997,143.0,,3041.0,0.67,,0.81,0.3054097899093775,False,,,,,,
HFE_S65C,Krvný obr._DIFF_RET: Neutrofily_%,Mann-Whitney U,317.0,0.11662880723564986,7.0,,140.0,55.2,,68.35,0.3054097899093775,False,,,,,,
HFE_S65C,ELFO_S: alfa1_globulín,Mann-Whitney U,6046.0,0.11764986745168031,22.0,,459.0,2.84,,2.48,0.3054097899093775,False,,,,,,
HFE_S65C,Krvný obraz: Trombocyty_PLT,Mann-Whitney U,93026.0,0.12084560032385441,111.0,,1837.0,164.0,,177.0,0.3054097899093775,False,,,,,,
HFE_S65C,CK-celková_S,Mann-Whitney U,9216.5,0.10827176157485129,28.0,,558.0,2.015,,1.455,0.3054097899093775,False,,,,,,
HFE_H63D,Močový sediment A: Kvasinky,Mann-Whitney U,573.0,0.08041240290410265,23.0,,45.0,0.0,,0.0,0.31487788602458755,False,,,,,,
HFE_H63D,Močový sediment: Erytrocyty,Mann-Whitney U,6646.5,0.07954776925138665,67.0,,227.0,2026.0,,2026.0,0.31487788602458755,False,,,,,,
HFE_H63D,ABR_artéria: O2_B sat,Mann-Whitney U,1836.5,0.080798853772347,35.0,,130.0,95.0,,96.35,0.31487788602458755,False,,,,,,
HFE_S65C,ALP_S,Mann-Whitney U,169038.5,0.1276651089709909,131.0,,2801.0,1.74,,1.89,0.3168830383387095,False,,,,,,
HFE_H63D,Krvný obraz: Hemoglobín_HGB,Kruskal-Wallis,4.977,0.08302479833848182,461.0,5.0,1482.0,116.0,121.0,115.0,0.3188633559376476,False,,,,,,
HFE_overall,Krvný obraz_RET: Hemoglobín_HGB,Mann-Whitney U,42.0,0.10106132007845174,,,,,,,0.32040249046227426,False,18.0,8.0,,100.5,118.5,
HFE_overall,Vitamín B12,Kruskal-Wallis,4.579,0.10132953685673664,,,,,,,0.32040249046227426,False,193.0,96.0,8.0,709.0,663.5,389.5
HFE_overall,Krvný obr._DIFF_5pop: Monocyty_#,Kruskal-Wallis,4.573,0.10162019287049742,,,,,,,0.32040249046227426,False,786.0,461.0,49.0,0.57,0.59,0.49
HFE_overall,Krvný obr._DIFF_RET: Stredný objem_PLT,Kruskal-Wallis,4.611,0.09971693659695448,,,,,,,0.32040249046227426,False,91.0,33.0,5.0,10.9,11.2,10.2
HFE_overall,ABR_artéria: PO2_B,Mann-Whitney U,2948.0,0.10571388085924625,,,,,,,0.32595405806344974,False,123.0,41.0,,11.35,9.83,
HFE_overall,Cholest-LDL_S,Kruskal-Wallis,4.492,0.10581344422209002,,,,,,,0.32595405806344974,False,244.0,131.0,7.0,2.835,2.92,2.55
HFE_S65C,Lipáza_S,Mann-Whitney U,2126.0,0.13440570739154045,16.0,,217.0,3.75,,2.27,0.32776128644603725,False,,,,,,
HFE_overall,CK-celková_S,Kruskal-Wallis,4.454,0.10783182615050148,,,,,,,0.328396925094709,False,372.0,193.0,21.0,1.435,1.52,1.7
HFE_H63D,ABR_artéria: pH_B,Mann-Whitney U,1845.0,0.0868948734881781,35.0,,130.0,7.339,,7.383,0.3289591639195314,False,,,,,,
HFE_C282Y,Krvný obr._DIFF_5pop: Stredná konc._HGB,Kruskal-Wallis,4.318,0.11542132684023343,105.0,14.0,1178.0,31.8,30.35,30.7,0.3307596231839525,False,,,,,,
HFE_H63D,GF-(S+U)-dospelí,Mann-Whitney U,224.0,0.08881848637198506,16.0,,21.0,1.75,,1.09,0.3315056181489583,False,,,,,,
HFE_H63D,TSH_S,Kruskal-Wallis,4.789,0.09123656387950298,77.0,12.0,258.0,1.827,2.912,1.986,0.33306835459312367,False,,,,,,
HFE_H63D,Tub. resorbcia,Mann-Whitney U,223.5,0.09175090522753973,16.0,,21.0,98.655,,97.45,0.33306835459312367,False,,,,,,
HFE_overall,Cholest-celk._S,Kruskal-Wallis,4.34,0.1141578425906991,,,,,,,0.33620111883854237,False,297.0,169.0,8.0,4.69,4.88,3.885
HFE_overall,Tub. resorbcia,Mann-Whitney U,118.5,0.11405873946316872,,,,,,,0.33620111883854237,False,19.0,18.0,,97.45,98.655,
HFE_overall,Krvný obr._DIFF_RET: Nezrelé formy RET,Kruskal-Wallis,4.354,0.11340478323483605,,,,,,,0.33620111883854237,False,102.0,40.0,5.0,8.45,6.95,3.4
HFE_S65C,Kálium-S,Mann-Whitney U,210995.5,0.1408208449142049,144.0,,2732.0,4.1,,4.0,0.3369687117452632,False,,,,,,
HFE_S65C,CVK_S,Mann-Whitney U,1299.5,0.1430298848415146,11.0,,187.0,53.3,,46.3,0.3369687117452632,False,,,,,,
HFE_H63D,Imunoblot ANA: dsDNA,Mann-Whitney U,3377.5,0.09425487668984092,42.0,,140.0,0.0,,0.0,0.33753435571361956,False,,,,,,
HFE_C282Y,Imunoblot ANA: AMA-M2,Mann-Whitney U,1267.5,0.12003043334677792,13.0,,171.0,0.0,,0.0,0.3389094588614906,False,,,,,,
HFE_H63D,Močový sediment A: Kryštály,Mann-Whitney U,408.5,0.09743822517513402,23.0,,43.0,0.0,,0.0,0.3442817289521402,False,,,,,,
HFE_overall,Glykémia_5/1,Mann-Whitney U,674.0,0.12019613595201452,,,,,,,0.34637166059290203,False,52.0,21.0,,7.2,5.2,
HFE_overall,LKM1,Mann-Whitney U,1262.0,0.12003325648809762,,,,,,,0.34637166059290203,False,83.0,37.0,,0.3,0.46,
HFE_H63D,Fibrinogén,Kruskal-Wallis,4.584,0.10104016821732911,480.0,16.0,1476.0,2.83,3.335,2.81,0.34773564386483397,False,,,,,,
HFE_H63D,Krvný obr._DIFF_5pop: Stred.far.konc._HGB,Kruskal-Wallis,4.592,0.10067435534674317,335.0,35.0,927.0,337.0,336.0,335.0,0.34773564386483397,False,,,,,,
HFE_overall,Haptoglobín_S,Mann-Whitney U,2456.0,0.12503491869937713,,,,,,,0.3527102147259248,False,92.0,46.0,,1.01,0.69,
HFE_overall,Krvný obraz_RET: Hematokrit_HCT,Mann-Whitney U,44.0,0.12852282728712933,,,,,,,0.3527102147259248,False,18.0,8.0,,0.303,0.367,
HFE_overall,Amoniak_B,Mann-Whitney U,69733.0,0.12723674675831373,,,,,,,0.3527102147259248,False,533.0,245.0,,60.0,58.0,
HFE_overall,Krvný obraz: Stredný objem_RBC,Kruskal-Wallis,4.151,0.12546363859840218,,,,,,,0.3527102147259248,False,1269.0,635.0,44.0,93.7,94.9,94.2
HFE_overall,Etanol v sére,Mann-Whitney U,3660.5,0.12897612329530087,,,,,,,0.3527102147259248,False,115.0,72.0,,0.03,0.03,
HFE_overall,Krvný obr._DIFF_RET: Lymfocyty_#,Kruskal-Wallis,4.058,0.1314633860490524,,,,,,,0.3558806814257176,False,103.0,39.0,5.0,1.27,1.09,1.52
HFE_H63D,Krvný obraz: Stredný objem_PLT,Kruskal-Wallis,4.511,0.10483183793797429,449.0,5.0,1383.0,10.9,10.6,11.0,0.3561594494046562,False,,,,,,
HFE_overall,Močový sediment A: Kryštály,Mann-Whitney U,612.5,0.1348804192282066,,,,,,,0.3614795235315937,False,38.0,28.0,,0.0,0.0,
HFE_overall,ELFO_S: Albumín,Kruskal-Wallis,3.968,0.1375290158097219,,,,,,,0.3649284775941135,False,310.0,158.0,13.0,37.56,36.94,38.69
HFE_C282Y,AMAM2,Mann-Whitney U,431.0,0.13254854128994,10.0,,121.0,0.62,,1.02,0.36883072358939833,False,,,,,,
HFE_overall,Močový sediment A: Zhluky leukocytov,Mann-Whitney U,638.5,0.14111301523263242,,,,,,,0.37076753021907344,False,39.0,28.0,,0.0,0.0,
HFE_H63D,Beta2 mikroglob. _S,Mann-Whitney U,1577.5,0.11180231593226991,28.0,,94.0,3.5,,2.8,0.37503308508925987,False,,,,,,
HFE_overall,Imunoblot Liver Pro: SLA,Mann-Whitney U,2186.0,0.14645436257251349,,,,,,,0.378761919964884,False,102.0,45.0,,0.0,0.0,
HFE_overall,Proteinúria kvant._U,Mann-Whitney U,191.0,0.1469822375983132,,,,,,,0.378761919964884,False,27.0,19.0,,0.129,0.279,
HFE_overall,Krvný obraz_RET: Trombocyty_PLT,Mann-Whitney U,45.5,0.14854458060420941,,,,,,,0.37914235811360114,False,18.0,8.0,,129.0,198.0,
HFE_H63D,Krvný obr._DIFF_RET: Leukocyty_WBC,Mann-Whitney U,1336.0,0.11678490047981255,28.0,,118.0,5.8,,6.55,0.38207405712531267,False,,,,,,
HFE_H63D,ABR_artéria: BB_B,Mann-Whitney U,1880.5,0.11628746328465972,35.0,,130.0,41.6,,43.7,0.38207405712531267,False,,,,,,
HFE_S65C,NT-proBNP,Mann-Whitney U,1019.5,0.16936748395779466,12.0,,137.0,2445.5,,1119.0,0.38593574213333537,False,,,,,,
